y,x_sub
0,193.4980
1,193.4980
2,193.4980
3,193.4980
4,192.4980
5,192.4980
6,192.4980
7,191.4980
8,191.4980
9,191.4980
10,191.4980
11,191.4980
12,190.4980
13,190.4980
14,190.4980
15,190.4980
16,189.4980
17,189.4980
18,189.4980
19,189.4980
20,189.4980
21,188.4980
22,188.4980
23,188.4980
24,188.4980
25,187.4980
26,187.4980
27,187.4980
28,187.4980
29,186.4980
30,186.4980
31,186.4980
32,186.4980
33,185.4980
34,185.4980
35,185.4980
36,185.4980
37,184.4980
38,184.4980
39,184.4980
40,184.4980
41,184.4980
42,183.4980
43,183.4980
44,183.4980
45,183.4980
46,183.4980
47,182.4980
48,182.4980
49,182.4980
50,182.4980
51,182.4980
52,181.4980
53,181.4980
54,181.4980
55,181.4980
56,181.4980
57,181.4980
58,180.4980
59,180.4980
60,180.4980
61,180.4980
62,180.4980
63,180.4980
64,180.4980
65,179.4980
66,179.4980
67,179.4980
68,179.4980
69,179.4980
70,179.4980
71,179.4980
72,178.4980
73,178.4980
74,178.4980
75,178.4980
76,178.4980
77,178.4980
78,178.4980
79,177.4980
80,177.4980
81,177.4980
82,177.4980
83,177.4980
84,177.4980
85,177.4980
86,176.4980
87,176.4980
88,176.4980
89,176.4980
90,176.4980
91,176.4980
92,176.4980
93,176.4980
94,175.4980
95,175.4980
96,175.4980
97,175.4980
98,175.4980
99,175.4980
100,175.4980
101,175.4980
102,175.4980
103,175.4980
104,174.4980
105,174.4980
106,174.4980
107,174.4980
108,174.4980
109,174.4980
110,174.4980
111,174.4980
112,174.4980
113,174.4980
114,174.4980
115,174.4980
116,174.4980
117,174.4980
118,173.4980
119,173.4980
120,173.4980
121,173.4980
122,173.4980
123,173.4980
124,173.4980
125,173.4980
126,173.4980
127,173.4980
128,172.4980
129,172.4980
130,172.4980
131,172.4980
132,172.4980
133,172.4980
134,171.4980
135,171.4980
136,171.4980
137,171.4980
138,171.4980
139,171.4980
140,170.4980
141,170.4980
142,170.4980
143,170.4980
144,170.4980
145,169.4980
146,169.4980
147,169.4980
148,169.4980
149,169.4980
150,169.4980
151,168.4980
152,168.4980
153,168.4980
154,168.4980
155,168.4980
156,167.4980
157,167.4980
158,167.4980
159,167.4980
160,167.4980
161,166.4980
162,166.4980
163,166.4980
164,166.4980
165,165.4980
166,165.4980
167,165.4980
168,165.4980
169,165.4980
170,165.4980
171,164.4980
172,164.4980
173,164.4980
174,164.4980
175,164.4980
176,164.4980
177,164.4980
178,163.4980
179,163.4980
180,163.4980
181,163.4980
182,163.4980
183,163.4980
184,163.4980
185,162.4980
186,162.4980
187,162.4980
188,162.4980
189,162.4980
190,161.4980
191,161.4980
192,161.4980
193,161.4980
194,161.4980
195,160.4980
196,160.4980
197,160.4980
198,160.4980
199,160.4980
200,160.4980
201,160.4980
202,160.4980
203,160.4980
204,160.4980
205,160.4980
206,160.4980
207,160.4980
208,159.4980
209,159.4980
210,159.4980
211,159.4980
212,159.4980
213,159.4980
214,159.4980
215,159.4980
216,159.4980
217,159.4980
218,159.4980
219,159.4980
220,159.4980
221,159.4980
222,159.4980
223,160.4980
224,160.4980
225,160.4980
226,160.4980
227,160.4980
228,160.4980
229,160.4980
230,160.4980
231,160.4980
232,160.4980
233,160.4980
234,160.4980
235,160.4980
236,160.4980
237,160.4980
238,160.4980
239,159.4980
240,159.4980
241,159.4980
242,159.4980
243,159.4980
244,159.4980
245,159.4980
246,159.4980
247,159.4980
248,159.4980
249,159.4980
250,159.4980
251,159.4980
252,159.4980
253,159.4980
254,159.4980
255,159.4980
256,159.4980
257,159.4980
258,159.4980
259,159.4980
260,159.4980
261,159.4980
262,159.4980
263,159.4980
264,159.4980
265,159.4980
266,159.4980
267,159.4980
268,159.4980
269,159.4980
270,159.4980
271,159.4980
272,159.4980
273,159.4980
274,159.4980
275,160.4980
276,160.4980
277,160.4980
278,160.4980
279,160.4980
280,160.4980
281,160.4980
282,161.4980
283,161.4980
284,161.4980
285,161.4980
286,161.4980
287,162.4980
288,162.4980
289,162.4980
290,163.4980
291,163.4980
292,163.4980
293,164.4980
294,164.4980
295,164.4980
296,165.4980
297,165.4980
298,165.4980
299,166.4980
300,166.4980
301,166.4980
302,167.4980
303,167.4980
304,167.4980
305,168.4980
306,168.4980
307,168.4980
308,168.4980
309,169.4980
310,169.4980
311,169.4980
312,169.4980
313,169.4980
314,170.4980
315,170.4980
316,170.4980
317,170.4980
318,171.4980
319,171.4980
320,171.4980
321,171.4980
322,172.4980
323,172.4980
324,172.4980
325,172.4980
326,173.4980
