y,x_sub
0.0,33.502
1.0,33.502
2.0,34.502
3.0,34.502
4.0,35.502
5.0,36.502
6.0,36.502
7.0,37.502
8.0,37.502
9.0,38.502
10.0,38.502
11.0,39.502
12.0,40.502
13.0,40.502
14.0,41.502
15.0,41.502
16.0,42.502
17.0,42.502
18.0,43.502
19.0,44.502
20.0,44.502
21.0,45.502
22.0,45.502
23.0,46.502
24.0,47.502
25.0,47.502
26.0,48.502
27.0,48.502
28.0,49.502
29.0,49.502
30.0,50.502
31.0,50.502
32.0,51.502
33.0,51.502
34.0,52.502
35.0,52.502
36.0,53.502
37.0,53.502
38.0,54.502
39.0,54.502
40.0,55.502
41.0,55.502
42.0,56.502
43.0,56.502
44.0,57.502
45.0,57.502
46.0,57.502
47.0,58.502
48.0,58.502
49.0,59.502
50.0,59.502
51.0,59.502
52.0,60.502
53.0,60.502
54.0,60.502
55.0,61.502
56.0,61.502
57.0,61.502
58.0,62.502
59.0,62.502
60.0,62.502
61.0,63.502
62.0,63.502
63.0,64.502
64.0,64.502
65.0,64.502
66.0,64.502
67.0,65.502
68.0,65.502
69.0,65.502
70.0,65.502
71.0,66.502
72.0,66.502
73.0,66.502
74.0,67.502
75.0,67.502
76.0,67.502
77.0,67.502
78.0,67.502
79.0,68.502
80.0,68.502
81.0,68.502
82.0,68.502
83.0,68.502
84.0,68.502
85.0,68.502
86.0,69.502
87.0,69.502
88.0,69.502
89.0,69.502
90.0,69.502
91.0,69.502
92.0,69.502
93.0,69.502
94.0,69.502
95.0,69.502
96.0,69.502
97.0,69.502
98.0,70.502
99.0,70.502
100.0,70.502
101.0,70.502
102.0,70.502
103.0,70.502
104.0,70.502
105.0,70.502
106.0,70.502
107.0,70.502
108.0,70.502
109.0,70.502
110.0,70.502
111.0,70.502
112.0,70.502
113.0,70.502
114.0,70.502
115.0,70.502
116.0,70.502
117.0,70.502
118.0,70.502
119.0,70.502
120.0,70.502
121.0,70.502
122.0,70.502
123.0,70.502
124.0,70.502
125.0,71.502
126.0,71.502
127.0,71.502
128.0,71.502
129.0,71.502
130.0,71.502
131.0,71.502
132.0,71.502
133.0,71.502
134.0,71.502
135.0,71.502
136.0,71.502
137.0,72.502
138.0,72.502
139.0,72.502
140.0,72.502
141.0,72.502
142.0,72.502
143.0,72.502
144.0,72.502
145.0,72.502
146.0,72.502
147.0,72.502
148.0,72.502
149.0,72.502
150.0,72.502
151.0,73.502
152.0,73.502
153.0,73.502
154.0,73.502
155.0,73.502
156.0,73.502
157.0,73.502
158.0,73.502
159.0,73.502
160.0,73.502
161.0,73.502
162.0,73.502
163.0,74.502
164.0,74.502
165.0,74.502
166.0,74.502
167.0,74.502
168.0,73.502
169.0,73.502
170.0,73.502
171.0,73.502
172.0,73.502
173.0,73.502
174.0,73.502
175.0,73.502
176.0,73.502
177.0,73.502
178.0,73.502
179.0,73.502
180.0,73.502
181.0,73.502
182.0,72.502
183.0,72.502
184.0,72.502
185.0,71.502
186.0,71.502
187.0,71.502
188.0,70.502
189.0,70.502
190.0,70.502
191.0,69.502
192.0,69.502
193.0,69.502
194.0,68.502
195.0,68.502
196.0,68.502
197.0,67.502
198.0,67.502
199.0,67.502
200.0,66.502
201.0,66.502
202.0,65.502
203.0,65.502
204.0,65.502
205.0,64.502
206.0,64.502
207.0,63.502
208.0,63.502
209.0,63.502
210.0,62.502
211.0,62.502
212.0,61.502
213.0,61.502
214.0,60.502
215.0,60.502
216.0,59.502
217.0,59.502
218.0,58.502
219.0,58.502
220.0,57.502
221.0,57.502
222.0,56.502
223.0,56.502
224.0,55.502
225.0,55.502
226.0,54.502
227.0,54.502
228.0,53.502
229.0,53.502
230.0,52.502
231.0,52.502
232.0,51.502
233.0,51.502
234.0,50.502
235.0,50.502
236.0,49.502
237.0,49.502
238.0,49.502
239.0,48.502
240.0,48.502
241.0,47.502
242.0,47.502
243.0,46.502
244.0,46.502
245.0,45.502
246.0,45.502
247.0,45.502
248.0,44.502
249.0,44.502
250.0,44.502
251.0,43.502
252.0,43.502
253.0,43.502
254.0,42.502
255.0,42.502
256.0,41.502
257.0,41.502
258.0,41.502
259.0,41.502
260.0,40.502
261.0,40.502
262.0,40.502
263.0,39.502
264.0,39.502
265.0,39.502
266.0,38.502
267.0,38.502
268.0,38.502
269.0,37.502
270.0,37.502
271.0,37.502
272.0,36.502
273.0,36.502
274.0,36.502
275.0,35.502
276.0,35.502
277.0,35.502
278.0,34.502
279.0,34.502
280.0,34.502
281.0,34.502
282.0,33.502
283.0,33.502
284.0,32.502
285.0,32.502
286.0,32.502
287.0,31.502
288.0,31.502
289.0,30.502
290.0,30.502
291.0,30.502
292.0,29.502
293.0,29.502
294.0,28.502
295.0,28.502
296.0,28.502
297.0,27.502
298.0,27.502
299.0,26.502
300.0,26.502
301.0,26.502
302.0,25.502
303.0,25.502
304.0,24.502
305.0,24.502
306.0,24.502
307.0,23.502
308.0,23.502
309.0,23.502
310.0,22.502
311.0,22.502
312.0,22.502
313.0,21.502
314.0,21.502
315.0,20.502
316.0,20.502
317.0,20.502
318.0,19.502
319.0,19.502
320.0,19.502
321.0,18.502
322.0,18.502
323.0,17.502
324.0,17.502
325.0,17.502
326.0,16.502
