y,x_sub
0.0,193.498
1.0,193.498
2.0,193.498
3.0,193.498
4.0,192.498
5.0,192.498
6.0,192.498
7.0,191.498
8.0,191.498
9.0,191.498
10.0,191.498
11.0,191.498
12.0,190.498
13.0,190.498
14.0,190.498
15.0,190.498
16.0,189.498
17.0,189.498
18.0,189.498
19.0,189.498
20.0,189.498
21.0,188.498
22.0,188.498
23.0,188.498
24.0,188.498
25.0,187.498
26.0,187.498
27.0,187.498
28.0,187.498
29.0,186.498
30.0,186.498
31.0,186.498
32.0,186.498
33.0,185.498
34.0,185.498
35.0,185.498
36.0,185.498
37.0,184.498
38.0,184.498
39.0,184.498
40.0,184.498
41.0,184.498
42.0,183.498
43.0,183.498
44.0,183.498
45.0,183.498
46.0,183.498
47.0,182.498
48.0,182.498
49.0,182.498
50.0,182.498
51.0,182.498
52.0,181.498
53.0,181.498
54.0,181.498
55.0,181.498
56.0,181.498
57.0,181.498
58.0,180.498
59.0,180.498
60.0,180.498
61.0,180.498
62.0,180.498
63.0,180.498
64.0,180.498
65.0,179.498
66.0,179.498
67.0,179.498
68.0,179.498
69.0,179.498
70.0,179.498
71.0,179.498
72.0,178.498
73.0,178.498
74.0,178.498
75.0,178.498
76.0,178.498
77.0,178.498
78.0,178.498
79.0,177.498
80.0,177.498
81.0,177.498
82.0,177.498
83.0,177.498
84.0,177.498
85.0,177.498
86.0,176.498
87.0,176.498
88.0,176.498
89.0,176.498
90.0,176.498
91.0,176.498
92.0,176.498
93.0,176.498
94.0,175.498
95.0,175.498
96.0,175.498
97.0,175.498
98.0,175.498
99.0,175.498
100.0,175.498
101.0,175.498
102.0,175.498
103.0,175.498
104.0,174.498
105.0,174.498
106.0,174.498
107.0,174.498
108.0,174.498
109.0,174.498
110.0,174.498
111.0,174.498
112.0,174.498
113.0,174.498
114.0,174.498
115.0,174.498
116.0,174.498
117.0,174.498
118.0,173.498
119.0,173.498
120.0,173.498
121.0,173.498
122.0,173.498
123.0,173.498
124.0,173.498
125.0,173.498
126.0,173.498
127.0,173.498
128.0,172.498
129.0,172.498
130.0,172.498
131.0,172.498
132.0,172.498
133.0,172.498
134.0,171.498
135.0,171.498
136.0,171.498
137.0,171.498
138.0,171.498
139.0,171.498
140.0,170.498
141.0,170.498
142.0,170.498
143.0,170.498
144.0,170.498
145.0,169.498
146.0,169.498
147.0,169.498
148.0,169.498
149.0,169.498
150.0,169.498
151.0,168.498
152.0,168.498
153.0,168.498
154.0,168.498
155.0,168.498
156.0,167.498
157.0,167.498
158.0,167.498
159.0,167.498
160.0,167.498
161.0,166.498
162.0,166.498
163.0,166.498
164.0,166.498
165.0,165.498
166.0,165.498
167.0,165.498
168.0,165.498
169.0,165.498
170.0,165.498
171.0,164.498
172.0,164.498
173.0,164.498
174.0,164.498
175.0,164.498
176.0,164.498
177.0,164.498
178.0,163.498
179.0,163.498
180.0,163.498
181.0,163.498
182.0,163.498
183.0,163.498
184.0,163.498
185.0,162.498
186.0,162.498
187.0,162.498
188.0,162.498
189.0,162.498
190.0,161.498
191.0,161.498
192.0,161.498
193.0,161.498
194.0,161.498
195.0,160.498
196.0,160.498
197.0,160.498
198.0,160.498
199.0,160.498
200.0,160.498
201.0,160.498
202.0,160.498
203.0,160.498
204.0,160.498
205.0,160.498
206.0,160.498
207.0,160.498
208.0,159.498
209.0,159.498
210.0,159.498
211.0,159.498
212.0,159.498
213.0,159.498
214.0,159.498
215.0,159.498
216.0,159.498
217.0,159.498
218.0,159.498
219.0,159.498
220.0,159.498
221.0,159.498
222.0,159.498
223.0,160.498
224.0,160.498
225.0,160.498
226.0,160.498
227.0,160.498
228.0,160.498
229.0,160.498
230.0,160.498
231.0,160.498
232.0,160.498
233.0,160.498
234.0,160.498
235.0,160.498
236.0,160.498
237.0,160.498
238.0,160.498
239.0,159.498
240.0,159.498
241.0,159.498
242.0,159.498
243.0,159.498
244.0,159.498
245.0,159.498
246.0,159.498
247.0,159.498
248.0,159.498
249.0,159.498
250.0,159.498
251.0,159.498
252.0,159.498
253.0,159.498
254.0,159.498
255.0,159.498
256.0,159.498
257.0,159.498
258.0,159.498
259.0,159.498
260.0,159.498
261.0,159.498
262.0,159.498
263.0,159.498
264.0,159.498
265.0,159.498
266.0,159.498
267.0,159.498
268.0,159.498
269.0,159.498
270.0,159.498
271.0,159.498
272.0,159.498
273.0,159.498
274.0,159.498
275.0,160.498
276.0,160.498
277.0,160.498
278.0,160.498
279.0,160.498
280.0,160.498
281.0,160.498
282.0,161.498
283.0,161.498
284.0,161.498
285.0,161.498
286.0,161.498
287.0,162.498
288.0,162.498
289.0,162.498
290.0,163.498
291.0,163.498
292.0,163.498
293.0,164.498
294.0,164.498
295.0,164.498
296.0,165.498
297.0,165.498
298.0,165.498
299.0,166.498
300.0,166.498
301.0,166.498
302.0,167.498
303.0,167.498
304.0,167.498
305.0,168.498
306.0,168.498
307.0,168.498
308.0,168.498
309.0,169.498
310.0,169.498
311.0,169.498
312.0,169.498
313.0,169.498
314.0,170.498
315.0,170.498
316.0,170.498
317.0,170.498
318.0,171.498
319.0,171.498
320.0,171.498
321.0,171.498
322.0,172.498
323.0,172.498
324.0,172.498
325.0,172.498
326.0,173.498
