y,x_sub
0,213.4980
1,213.4980
2,212.4980
3,212.4980
4,212.4980
5,212.4980
6,211.4980
7,211.4980
8,211.4980
9,211.4980
10,210.4980
11,210.4980
12,210.4980
13,209.4980
14,209.4980
15,209.4980
16,209.4980
17,208.4980
18,208.4980
19,208.4980
20,208.4980
21,207.4980
22,207.4980
23,207.4980
24,207.4980
25,206.4980
26,206.4980
27,206.4980
28,206.4980
29,205.4980
30,205.4980
31,205.4980
32,205.4980
33,204.4980
34,204.4980
35,204.4980
36,204.4980
37,203.4980
38,203.4980
39,203.4980
40,203.4980
41,202.4980
42,202.4980
43,202.4980
44,202.4980
45,202.4980
46,201.4980
47,201.4980
48,201.4980
49,201.4980
50,200.4980
51,200.4980
52,200.4980
53,200.4980
54,200.4980
55,200.4980
56,199.4980
57,199.4980
58,199.4980
59,199.4980
60,198.4980
61,198.4980
62,198.4980
63,198.4980
64,198.4980
65,198.4980
66,198.4980
67,197.4980
68,197.4980
69,197.4980
70,197.4980
71,197.4980
72,197.4980
73,197.4980
74,197.4980
75,196.4980
76,196.4980
77,196.4980
78,196.4980
79,196.4980
80,196.4980
81,196.4980
82,196.4980
83,196.4980
84,196.4980
85,196.4980
86,195.4980
87,195.4980
88,195.4980
89,195.4980
90,195.4980
91,195.4980
92,195.4980
93,195.4980
94,195.4980
95,194.4980
96,194.4980
97,194.4980
98,194.4980
99,194.4980
100,194.4980
101,194.4980
102,194.4980
103,194.4980
104,193.4980
105,193.4980
106,193.4980
107,193.4980
108,193.4980
109,193.4980
110,193.4980
111,193.4980
112,192.4980
113,192.4980
114,192.4980
115,192.4980
116,192.4980
117,192.4980
118,192.4980
119,191.4980
120,191.4980
121,191.4980
122,191.4980
123,191.4980
124,191.4980
125,191.4980
126,191.4980
127,191.4980
128,191.4980
129,190.4980
130,190.4980
131,190.4980
132,190.4980
133,190.4980
134,190.4980
135,190.4980
136,190.4980
137,190.4980
138,190.4980
139,190.4980
140,190.4980
141,190.4980
142,190.4980
143,190.4980
144,190.4980
145,190.4980
146,190.4980
147,190.4980
148,190.4980
149,190.4980
150,190.4980
151,190.4980
152,190.4980
153,190.4980
154,190.4980
155,190.4980
156,190.4980
157,190.4980
158,190.4980
159,190.4980
160,190.4980
161,190.4980
162,190.4980
163,190.4980
164,190.4980
165,190.4980
166,190.4980
167,190.4980
168,190.4980
169,190.4980
170,190.4980
171,190.4980
172,191.4980
173,191.4980
174,191.4980
175,191.4980
176,191.4980
177,191.4980
178,192.4980
179,192.4980
180,192.4980
181,192.4980
182,192.4980
183,192.4980
184,192.4980
185,193.4980
186,193.4980
187,193.4980
188,193.4980
189,194.4980
190,194.4980
191,194.4980
192,194.4980
193,195.4980
194,195.4980
195,195.4980
196,195.4980
197,196.4980
198,196.4980
199,196.4980
200,196.4980
201,197.4980
202,197.4980
203,197.4980
204,197.4980
205,197.4980
206,198.4980
207,198.4980
208,198.4980
209,198.4980
210,198.4980
211,198.4980
212,199.4980
213,199.4980
214,199.4980
215,199.4980
216,199.4980
217,200.4980
218,200.4980
219,200.4980
220,200.4980
221,200.4980
222,200.4980
223,200.4980
224,200.4980
225,200.4980
226,201.4980
227,201.4980
228,201.4980
229,201.4980
230,201.4980
231,201.4980
232,201.4980
233,201.4980
234,201.4980
235,201.4980
236,201.4980
237,201.4980
238,201.4980
239,202.4980
240,202.4980
241,202.4980
242,202.4980
243,202.4980
244,202.4980
245,202.4980
246,202.4980
247,202.4980
248,202.4980
249,202.4980
250,203.4980
251,203.4980
252,203.4980
253,203.4980
254,203.4980
255,203.4980
256,203.4980
257,204.4980
258,204.4980
259,204.4980
260,204.4980
261,204.4980
262,204.4980
263,204.4980
264,204.4980
265,205.4980
266,205.4980
267,205.4980
268,206.4980
269,206.4980
270,206.4980
271,207.4980
272,207.4980
273,208.4980
274,208.4980
275,208.4980
276,209.4980
277,209.4980
278,209.4980
279,210.4980
280,210.4980
281,210.4980
282,211.4980
283,211.4980
284,211.4980
285,212.4980
286,212.4980
287,212.4980
288,213.4980
289,213.4980
290,213.4980
291,213.4980
292,214.4980
293,214.4980
294,214.4980
295,215.4980
296,215.4980
297,215.4980
298,215.4980
299,216.4980
300,216.4980
301,216.4980
302,217.4980
303,217.4980
304,217.4980
305,217.4980
306,218.4980
307,218.4980
308,218.4980
309,219.4980
310,219.4980
311,219.4980
312,219.4980
313,220.4980
314,220.4980
315,220.4980
316,220.4980
317,221.4980
318,221.4980
319,221.4980
320,221.4980
321,222.4980
322,222.4980
323,222.4980
324,222.4980
325,223.4980
