y,x_sub
0.0,17.502
1.0,18.502
2.0,18.502
3.0,19.502
4.0,20.502
5.0,20.502
6.0,21.502
7.0,21.502
8.0,22.502
9.0,23.502
10.0,23.502
11.0,24.502
12.0,24.502
13.0,25.502
14.0,26.502
15.0,26.502
16.0,27.502
17.0,27.502
18.0,28.502
19.0,29.502
20.0,29.502
21.0,30.502
22.0,31.502
23.0,32.502
24.0,32.502
25.0,33.502
26.0,34.502
27.0,34.502
28.0,35.502
29.0,36.502
30.0,36.502
31.0,37.502
32.0,38.502
33.0,38.502
34.0,39.502
35.0,40.502
36.0,40.502
37.0,41.502
38.0,42.502
39.0,42.502
40.0,43.502
41.0,44.502
42.0,44.502
43.0,45.502
44.0,46.502
45.0,46.502
46.0,47.502
47.0,48.502
48.0,48.502
49.0,49.502
50.0,49.502
51.0,50.502
52.0,51.502
53.0,51.502
54.0,52.502
55.0,52.502
56.0,53.502
57.0,54.502
58.0,54.502
59.0,55.502
60.0,55.502
61.0,56.502
62.0,56.502
63.0,57.502
64.0,58.502
65.0,58.502
66.0,59.502
67.0,59.502
68.0,60.502
69.0,60.502
70.0,61.502
71.0,61.502
72.0,62.502
73.0,62.502
74.0,63.502
75.0,63.502
76.0,64.502
77.0,64.502
78.0,65.502
79.0,65.502
80.0,65.502
81.0,66.502
82.0,66.502
83.0,67.502
84.0,67.502
85.0,67.502
86.0,68.502
87.0,68.502
88.0,68.502
89.0,68.502
90.0,69.502
91.0,69.502
92.0,69.502
93.0,70.502
94.0,70.502
95.0,70.502
96.0,70.502
97.0,70.502
98.0,71.502
99.0,71.502
100.0,71.502
101.0,71.502
102.0,71.502
103.0,71.502
104.0,71.502
105.0,72.502
106.0,72.502
107.0,72.502
108.0,72.502
109.0,72.502
110.0,72.502
111.0,72.502
112.0,72.502
113.0,72.502
114.0,72.502
115.0,73.502
116.0,73.502
117.0,73.502
118.0,73.502
119.0,73.502
120.0,73.502
121.0,73.502
122.0,73.502
123.0,73.502
124.0,73.502
125.0,73.502
126.0,73.502
127.0,74.502
128.0,74.502
129.0,74.502
130.0,74.502
131.0,74.502
132.0,74.502
133.0,74.502
134.0,74.502
135.0,74.502
136.0,74.502
137.0,74.502
138.0,74.502
139.0,74.502
140.0,74.502
141.0,74.502
142.0,74.502
143.0,74.502
144.0,74.502
145.0,74.502
146.0,73.502
147.0,73.502
148.0,73.502
149.0,73.502
150.0,73.502
151.0,73.502
152.0,73.502
153.0,73.502
154.0,72.502
155.0,72.502
156.0,72.502
157.0,72.502
158.0,71.502
159.0,71.502
160.0,71.502
161.0,70.502
162.0,70.502
163.0,70.502
164.0,69.502
165.0,69.502
166.0,69.502
167.0,68.502
168.0,68.502
169.0,68.502
170.0,67.502
171.0,67.502
172.0,67.502
173.0,67.502
174.0,66.502
175.0,66.502
176.0,66.502
177.0,65.502
178.0,65.502
179.0,65.502
180.0,65.502
181.0,64.502
182.0,64.502
183.0,64.502
184.0,63.502
185.0,63.502
186.0,63.502
187.0,62.502
188.0,62.502
189.0,62.502
190.0,61.502
191.0,61.502
192.0,61.502
193.0,60.502
194.0,60.502
195.0,60.502
196.0,59.502
197.0,59.502
198.0,59.502
199.0,58.502
200.0,58.502
201.0,58.502
202.0,57.502
203.0,57.502
204.0,57.502
205.0,56.502
206.0,56.502
207.0,56.502
208.0,56.502
209.0,55.502
210.0,55.502
211.0,55.502
212.0,55.502
213.0,54.502
214.0,54.502
215.0,54.502
216.0,54.502
217.0,53.502
218.0,53.502
219.0,53.502
220.0,53.502
221.0,53.502
222.0,53.502
223.0,53.502
224.0,52.502
225.0,52.502
226.0,52.502
227.0,52.502
228.0,52.502
229.0,52.502
230.0,52.502
231.0,52.502
232.0,51.502
233.0,51.502
234.0,51.502
235.0,51.502
236.0,51.502
237.0,51.502
238.0,51.502
239.0,51.502
240.0,51.502
241.0,50.502
242.0,50.502
243.0,50.502
244.0,50.502
245.0,50.502
246.0,50.502
247.0,50.502
248.0,50.502
249.0,50.502
250.0,49.502
251.0,49.502
252.0,49.502
253.0,49.502
254.0,49.502
255.0,49.502
256.0,49.502
257.0,48.502
258.0,48.502
259.0,48.502
260.0,48.502
261.0,48.502
262.0,48.502
263.0,48.502
264.0,47.502
265.0,47.502
266.0,47.502
267.0,47.502
268.0,46.502
269.0,46.502
270.0,46.502
271.0,45.502
272.0,45.502
273.0,44.502
274.0,44.502
275.0,44.502
276.0,43.502
277.0,43.502
278.0,43.502
279.0,42.502
280.0,42.502
281.0,42.502
282.0,41.502
283.0,41.502
284.0,41.502
285.0,40.502
286.0,40.502
287.0,40.502
288.0,39.502
289.0,39.502
290.0,39.502
291.0,38.502
292.0,38.502
293.0,38.502
294.0,37.502
295.0,37.502
296.0,37.502
297.0,36.502
298.0,36.502
299.0,36.502
300.0,35.502
301.0,35.502
302.0,35.502
303.0,35.502
304.0,34.502
305.0,34.502
306.0,34.502
307.0,33.502
308.0,33.502
309.0,33.502
310.0,32.502
311.0,32.502
312.0,32.502
313.0,31.502
314.0,31.502
315.0,31.502
316.0,31.502
317.0,30.502
318.0,30.502
319.0,30.502
320.0,29.502
321.0,29.502
322.0,29.502
323.0,29.502
324.0,28.502
325.0,28.502
