y,x_sub
0.0,213.498
1.0,213.498
2.0,212.498
3.0,212.498
4.0,212.498
5.0,212.498
6.0,211.498
7.0,211.498
8.0,211.498
9.0,211.498
10.0,210.498
11.0,210.498
12.0,210.498
13.0,209.498
14.0,209.498
15.0,209.498
16.0,209.498
17.0,208.498
18.0,208.498
19.0,208.498
20.0,208.498
21.0,207.498
22.0,207.498
23.0,207.498
24.0,207.498
25.0,206.498
26.0,206.498
27.0,206.498
28.0,206.498
29.0,205.498
30.0,205.498
31.0,205.498
32.0,205.498
33.0,204.498
34.0,204.498
35.0,204.498
36.0,204.498
37.0,203.498
38.0,203.498
39.0,203.498
40.0,203.498
41.0,202.498
42.0,202.498
43.0,202.498
44.0,202.498
45.0,202.498
46.0,201.498
47.0,201.498
48.0,201.498
49.0,201.498
50.0,200.498
51.0,200.498
52.0,200.498
53.0,200.498
54.0,200.498
55.0,200.498
56.0,199.498
57.0,199.498
58.0,199.498
59.0,199.498
60.0,198.498
61.0,198.498
62.0,198.498
63.0,198.498
64.0,198.498
65.0,198.498
66.0,198.498
67.0,197.498
68.0,197.498
69.0,197.498
70.0,197.498
71.0,197.498
72.0,197.498
73.0,197.498
74.0,197.498
75.0,196.498
76.0,196.498
77.0,196.498
78.0,196.498
79.0,196.498
80.0,196.498
81.0,196.498
82.0,196.498
83.0,196.498
84.0,196.498
85.0,196.498
86.0,195.498
87.0,195.498
88.0,195.498
89.0,195.498
90.0,195.498
91.0,195.498
92.0,195.498
93.0,195.498
94.0,195.498
95.0,194.498
96.0,194.498
97.0,194.498
98.0,194.498
99.0,194.498
100.0,194.498
101.0,194.498
102.0,194.498
103.0,194.498
104.0,193.498
105.0,193.498
106.0,193.498
107.0,193.498
108.0,193.498
109.0,193.498
110.0,193.498
111.0,193.498
112.0,192.498
113.0,192.498
114.0,192.498
115.0,192.498
116.0,192.498
117.0,192.498
118.0,192.498
119.0,191.498
120.0,191.498
121.0,191.498
122.0,191.498
123.0,191.498
124.0,191.498
125.0,191.498
126.0,191.498
127.0,191.498
128.0,191.498
129.0,190.498
130.0,190.498
131.0,190.498
132.0,190.498
133.0,190.498
134.0,190.498
135.0,190.498
136.0,190.498
137.0,190.498
138.0,190.498
139.0,190.498
140.0,190.498
141.0,190.498
142.0,190.498
143.0,190.498
144.0,190.498
145.0,190.498
146.0,190.498
147.0,190.498
148.0,190.498
149.0,190.498
150.0,190.498
151.0,190.498
152.0,190.498
153.0,190.498
154.0,190.498
155.0,190.498
156.0,190.498
157.0,190.498
158.0,190.498
159.0,190.498
160.0,190.498
161.0,190.498
162.0,190.498
163.0,190.498
164.0,190.498
165.0,190.498
166.0,190.498
167.0,190.498
168.0,190.498
169.0,190.498
170.0,190.498
171.0,190.498
172.0,191.498
173.0,191.498
174.0,191.498
175.0,191.498
176.0,191.498
177.0,191.498
178.0,192.498
179.0,192.498
180.0,192.498
181.0,192.498
182.0,192.498
183.0,192.498
184.0,192.498
185.0,193.498
186.0,193.498
187.0,193.498
188.0,193.498
189.0,194.498
190.0,194.498
191.0,194.498
192.0,194.498
193.0,195.498
194.0,195.498
195.0,195.498
196.0,195.498
197.0,196.498
198.0,196.498
199.0,196.498
200.0,196.498
201.0,197.498
202.0,197.498
203.0,197.498
204.0,197.498
205.0,197.498
206.0,198.498
207.0,198.498
208.0,198.498
209.0,198.498
210.0,198.498
211.0,198.498
212.0,199.498
213.0,199.498
214.0,199.498
215.0,199.498
216.0,199.498
217.0,200.498
218.0,200.498
219.0,200.498
220.0,200.498
221.0,200.498
222.0,200.498
223.0,200.498
224.0,200.498
225.0,200.498
226.0,201.498
227.0,201.498
228.0,201.498
229.0,201.498
230.0,201.498
231.0,201.498
232.0,201.498
233.0,201.498
234.0,201.498
235.0,201.498
236.0,201.498
237.0,201.498
238.0,201.498
239.0,202.498
240.0,202.498
241.0,202.498
242.0,202.498
243.0,202.498
244.0,202.498
245.0,202.498
246.0,202.498
247.0,202.498
248.0,202.498
249.0,202.498
250.0,203.498
251.0,203.498
252.0,203.498
253.0,203.498
254.0,203.498
255.0,203.498
256.0,203.498
257.0,204.498
258.0,204.498
259.0,204.498
260.0,204.498
261.0,204.498
262.0,204.498
263.0,204.498
264.0,204.498
265.0,205.498
266.0,205.498
267.0,205.498
268.0,206.498
269.0,206.498
270.0,206.498
271.0,207.498
272.0,207.498
273.0,208.498
274.0,208.498
275.0,208.498
276.0,209.498
277.0,209.498
278.0,209.498
279.0,210.498
280.0,210.498
281.0,210.498
282.0,211.498
283.0,211.498
284.0,211.498
285.0,212.498
286.0,212.498
287.0,212.498
288.0,213.498
289.0,213.498
290.0,213.498
291.0,213.498
292.0,214.498
293.0,214.498
294.0,214.498
295.0,215.498
296.0,215.498
297.0,215.498
298.0,215.498
299.0,216.498
300.0,216.498
301.0,216.498
302.0,217.498
303.0,217.498
304.0,217.498
305.0,217.498
306.0,218.498
307.0,218.498
308.0,218.498
309.0,219.498
310.0,219.498
311.0,219.498
312.0,219.498
313.0,220.498
314.0,220.498
315.0,220.498
316.0,220.498
317.0,221.498
318.0,221.498
319.0,221.498
320.0,221.498
321.0,222.498
322.0,222.498
323.0,222.498
324.0,222.498
325.0,223.498
