y,x_sub
0.0,20.502
1.0,20.502
2.0,20.502
3.0,21.502
4.0,21.502
5.0,21.502
6.0,22.502
7.0,22.502
8.0,23.502
9.0,23.502
10.0,23.502
11.0,24.502
12.0,24.502
13.0,24.502
14.0,25.502
15.0,25.502
16.0,25.502
17.0,25.502
18.0,26.502
19.0,26.502
20.0,26.502
21.0,27.502
22.0,27.502
23.0,27.502
24.0,28.502
25.0,28.502
26.0,28.502
27.0,28.502
28.0,29.502
29.0,29.502
30.0,29.502
31.0,30.502
32.0,30.502
33.0,30.502
34.0,31.502
35.0,31.502
36.0,31.502
37.0,32.502
38.0,32.502
39.0,33.502
40.0,33.502
41.0,33.502
42.0,34.502
43.0,34.502
44.0,34.502
45.0,35.502
46.0,35.502
47.0,35.502
48.0,36.502
49.0,36.502
50.0,36.502
51.0,36.502
52.0,37.502
53.0,37.502
54.0,37.502
55.0,38.502
56.0,38.502
57.0,39.502
58.0,39.502
59.0,39.502
60.0,40.502
61.0,40.502
62.0,40.502
63.0,41.502
64.0,41.502
65.0,41.502
66.0,41.502
67.0,42.502
68.0,42.502
69.0,42.502
70.0,43.502
71.0,43.502
72.0,43.502
73.0,43.502
74.0,44.502
75.0,44.502
76.0,44.502
77.0,45.502
78.0,45.502
79.0,45.502
80.0,45.502
81.0,46.502
82.0,46.502
83.0,46.502
84.0,47.502
85.0,47.502
86.0,47.502
87.0,47.502
88.0,48.502
89.0,48.502
90.0,48.502
91.0,48.502
92.0,49.502
93.0,49.502
94.0,49.502
95.0,49.502
96.0,49.502
97.0,50.502
98.0,50.502
99.0,50.502
100.0,50.502
101.0,51.502
102.0,51.502
103.0,51.502
104.0,51.502
105.0,51.502
106.0,52.502
107.0,52.502
108.0,52.502
109.0,52.502
110.0,52.502
111.0,52.502
112.0,52.502
113.0,52.502
114.0,53.502
115.0,53.502
116.0,53.502
117.0,53.502
118.0,53.502
119.0,53.502
120.0,53.502
121.0,53.502
122.0,53.502
123.0,53.502
124.0,53.502
125.0,53.502
126.0,53.502
127.0,53.502
128.0,54.502
129.0,54.502
130.0,54.502
131.0,54.502
132.0,54.502
133.0,54.502
134.0,54.502
135.0,54.502
136.0,54.502
137.0,54.502
138.0,54.502
139.0,54.502
140.0,54.502
141.0,54.502
142.0,54.502
143.0,54.502
144.0,54.502
145.0,54.502
146.0,55.502
147.0,55.502
148.0,55.502
149.0,55.502
150.0,55.502
151.0,55.502
152.0,55.502
153.0,55.502
154.0,55.502
155.0,56.502
156.0,56.502
157.0,56.502
158.0,56.502
159.0,57.502
160.0,57.502
161.0,57.502
162.0,57.502
163.0,57.502
164.0,58.502
165.0,58.502
166.0,58.502
167.0,58.502
168.0,59.502
169.0,59.502
170.0,59.502
171.0,59.502
172.0,60.502
173.0,60.502
174.0,60.502
175.0,60.502
176.0,60.502
177.0,61.502
178.0,61.502
179.0,61.502
180.0,61.502
181.0,62.502
182.0,62.502
183.0,62.502
184.0,62.502
185.0,62.502
186.0,63.502
187.0,63.502
188.0,63.502
189.0,63.502
190.0,63.502
191.0,64.502
192.0,64.502
193.0,64.502
194.0,64.502
195.0,64.502
196.0,65.502
197.0,65.502
198.0,65.502
199.0,65.502
200.0,66.502
201.0,66.502
202.0,66.502
203.0,66.502
204.0,66.502
205.0,67.502
206.0,67.502
207.0,67.502
208.0,67.502
209.0,68.502
210.0,68.502
211.0,68.502
212.0,68.502
213.0,68.502
214.0,68.502
215.0,68.502
216.0,68.502
217.0,68.502
218.0,68.502
219.0,69.502
220.0,69.502
221.0,69.502
222.0,69.502
223.0,69.502
224.0,69.502
225.0,69.502
226.0,69.502
227.0,69.502
228.0,69.502
229.0,69.502
230.0,69.502
231.0,69.502
232.0,69.502
233.0,69.502
234.0,69.502
235.0,70.502
236.0,70.502
237.0,70.502
238.0,70.502
239.0,70.502
240.0,70.502
241.0,70.502
242.0,70.502
243.0,70.502
244.0,70.502
245.0,70.502
246.0,70.502
247.0,70.502
248.0,70.502
249.0,70.502
250.0,70.502
251.0,70.502
252.0,70.502
253.0,70.502
254.0,71.502
255.0,71.502
256.0,71.502
257.0,71.502
258.0,71.502
259.0,71.502
260.0,71.502
261.0,71.502
262.0,71.502
263.0,71.502
264.0,71.502
265.0,71.502
266.0,71.502
267.0,71.502
268.0,71.502
269.0,71.502
270.0,71.502
271.0,71.502
272.0,71.502
273.0,70.502
274.0,70.502
275.0,70.502
276.0,70.502
277.0,70.502
278.0,70.502
279.0,70.502
280.0,70.502
281.0,69.502
282.0,69.502
283.0,69.502
284.0,69.502
285.0,69.502
286.0,69.502
287.0,69.502
288.0,68.502
289.0,68.502
290.0,68.502
291.0,68.502
292.0,68.502
293.0,68.502
294.0,67.502
295.0,67.502
296.0,67.502
297.0,67.502
298.0,66.502
299.0,66.502
300.0,66.502
301.0,66.502
302.0,65.502
303.0,65.502
304.0,65.502
305.0,65.502
306.0,64.502
307.0,64.502
308.0,64.502
309.0,64.502
310.0,63.502
311.0,63.502
312.0,63.502
313.0,63.502
314.0,62.502
315.0,62.502
316.0,62.502
317.0,61.502
318.0,61.502
319.0,61.502
