y,x_sub
0.0,12.502
1.0,12.502
2.0,12.502
3.0,13.502
4.0,13.502
5.0,13.502
6.0,13.502
7.0,13.502
8.0,14.502
9.0,14.502
10.0,14.502
11.0,14.502
12.0,15.502
13.0,15.502
14.0,15.502
15.0,15.502
16.0,16.502
17.0,16.502
18.0,16.502
19.0,16.502
20.0,16.502
21.0,17.502
22.0,17.502
23.0,17.502
24.0,18.502
25.0,18.502
26.0,18.502
27.0,18.502
28.0,18.502
29.0,19.502
30.0,19.502
31.0,19.502
32.0,20.502
33.0,20.502
34.0,20.502
35.0,20.502
36.0,21.502
37.0,21.502
38.0,21.502
39.0,21.502
40.0,22.502
41.0,22.502
42.0,22.502
43.0,22.502
44.0,23.502
45.0,23.502
46.0,23.502
47.0,23.502
48.0,24.502
49.0,24.502
50.0,24.502
51.0,25.502
52.0,25.502
53.0,25.502
54.0,25.502
55.0,26.502
56.0,26.502
57.0,26.502
58.0,26.502
59.0,27.502
60.0,27.502
61.0,27.502
62.0,28.502
63.0,28.502
64.0,28.502
65.0,28.502
66.0,28.502
67.0,29.502
68.0,29.502
69.0,29.502
70.0,29.502
71.0,30.502
72.0,30.502
73.0,30.502
74.0,30.502
75.0,31.502
76.0,31.502
77.0,31.502
78.0,31.502
79.0,31.502
80.0,32.502
81.0,32.502
82.0,32.502
83.0,32.502
84.0,32.502
85.0,33.502
86.0,33.502
87.0,33.502
88.0,33.502
89.0,33.502
90.0,34.502
91.0,34.502
92.0,34.502
93.0,34.502
94.0,34.502
95.0,35.502
96.0,35.502
97.0,35.502
98.0,35.502
99.0,35.502
100.0,35.502
101.0,36.502
102.0,36.502
103.0,36.502
104.0,36.502
105.0,36.502
106.0,36.502
107.0,37.502
108.0,37.502
109.0,37.502
110.0,37.502
111.0,37.502
112.0,37.502
113.0,37.502
114.0,38.502
115.0,38.502
116.0,38.502
117.0,38.502
118.0,38.502
119.0,38.502
120.0,38.502
121.0,38.502
122.0,39.502
123.0,39.502
124.0,39.502
125.0,39.502
126.0,39.502
127.0,39.502
128.0,39.502
129.0,39.502
130.0,39.502
131.0,40.502
132.0,40.502
133.0,40.502
134.0,40.502
135.0,40.502
136.0,40.502
137.0,40.502
138.0,40.502
139.0,40.502
140.0,41.502
141.0,41.502
142.0,41.502
143.0,41.502
144.0,41.502
145.0,41.502
146.0,41.502
147.0,41.502
148.0,41.502
149.0,42.502
150.0,42.502
151.0,42.502
152.0,42.502
153.0,42.502
154.0,42.502
155.0,42.502
156.0,42.502
157.0,42.502
158.0,43.502
159.0,43.502
160.0,43.502
161.0,43.502
162.0,43.502
163.0,43.502
164.0,43.502
165.0,43.502
166.0,43.502
167.0,44.502
168.0,44.502
169.0,44.502
170.0,44.502
171.0,44.502
172.0,44.502
173.0,44.502
174.0,44.502
175.0,44.502
176.0,45.502
177.0,45.502
178.0,45.502
179.0,45.502
180.0,45.502
181.0,45.502
182.0,45.502
183.0,45.502
184.0,45.502
185.0,46.502
186.0,46.502
187.0,46.502
188.0,46.502
189.0,46.502
190.0,46.502
191.0,46.502
192.0,46.502
193.0,46.502
194.0,47.502
195.0,47.502
196.0,47.502
197.0,47.502
198.0,47.502
199.0,47.502
200.0,47.502
201.0,47.502
202.0,47.502
203.0,47.502
204.0,48.502
205.0,48.502
206.0,48.502
207.0,48.502
208.0,48.502
209.0,48.502
210.0,48.502
211.0,48.502
212.0,48.502
213.0,48.502
214.0,48.502
215.0,48.502
216.0,48.502
217.0,48.502
218.0,48.502
219.0,48.502
220.0,48.502
221.0,48.502
222.0,48.502
223.0,48.502
224.0,48.502
225.0,48.502
226.0,48.502
227.0,48.502
228.0,48.502
229.0,48.502
230.0,48.502
231.0,48.502
232.0,48.502
233.0,48.502
234.0,48.502
235.0,48.502
236.0,48.502
237.0,48.502
238.0,48.502
239.0,48.502
240.0,47.502
241.0,47.502
242.0,47.502
243.0,47.502
244.0,47.502
245.0,47.502
246.0,47.502
247.0,47.502
248.0,47.502
249.0,47.502
250.0,47.502
251.0,46.502
252.0,46.502
253.0,46.502
254.0,46.502
255.0,46.502
256.0,46.502
257.0,46.502
258.0,46.502
259.0,45.502
260.0,45.502
261.0,45.502
262.0,45.502
263.0,45.502
264.0,45.502
265.0,45.502
266.0,44.502
267.0,44.502
268.0,44.502
269.0,44.502
270.0,44.502
271.0,44.502
272.0,44.502
273.0,43.502
274.0,43.502
275.0,43.502
276.0,43.502
277.0,43.502
278.0,43.502
279.0,43.502
280.0,43.502
281.0,43.502
282.0,43.502
283.0,43.502
284.0,43.502
285.0,43.502
286.0,43.502
287.0,43.502
288.0,43.502
289.0,43.502
290.0,43.502
291.0,43.502
292.0,43.502
293.0,43.502
294.0,43.502
295.0,43.502
296.0,43.502
297.0,43.502
298.0,43.502
299.0,43.502
300.0,43.502
301.0,43.502
302.0,43.502
303.0,43.502
304.0,43.502
305.0,43.502
306.0,42.502
307.0,42.502
308.0,42.502
309.0,42.502
310.0,43.502
311.0,43.502
312.0,43.502
313.0,43.502
314.0,43.502
315.0,43.502
316.0,43.502
317.0,43.502
318.0,43.502
319.0,43.502
320.0,43.502
321.0,43.502
322.0,43.502
323.0,42.502
324.0,42.502
325.0,42.502
