y,x_sub
0,15.5020
1,15.5020
2,15.5020
3,16.5020
4,16.5020
5,16.5020
6,17.5020
7,17.5020
8,17.5020
9,17.5020
10,18.5020
11,18.5020
12,18.5020
13,19.5020
14,19.5020
15,19.5020
16,20.5020
17,20.5020
18,20.5020
19,21.5020
20,21.5020
21,21.5020
22,22.5020
23,22.5020
24,22.5020
25,23.5020
26,23.5020
27,23.5020
28,24.5020
29,24.5020
30,24.5020
31,25.5020
32,25.5020
33,25.5020
34,26.5020
35,26.5020
36,26.5020
37,27.5020
38,27.5020
39,27.5020
40,28.5020
41,28.5020
42,29.5020
43,29.5020
44,29.5020
45,29.5020
46,30.5020
47,30.5020
48,30.5020
49,31.5020
50,31.5020
51,31.5020
52,32.5020
53,32.5020
54,32.5020
55,33.5020
56,33.5020
57,33.5020
58,34.5020
59,34.5020
60,34.5020
61,34.5020
62,35.5020
63,35.5020
64,35.5020
65,36.5020
66,36.5020
67,36.5020
68,36.5020
69,37.5020
70,37.5020
71,37.5020
72,38.5020
73,38.5020
74,38.5020
75,38.5020
76,39.5020
77,39.5020
78,39.5020
79,39.5020
80,40.5020
81,40.5020
82,40.5020
83,40.5020
84,41.5020
85,41.5020
86,41.5020
87,41.5020
88,41.5020
89,42.5020
90,42.5020
91,42.5020
92,42.5020
93,42.5020
94,43.5020
95,43.5020
96,43.5020
97,43.5020
98,43.5020
99,44.5020
100,44.5020
101,44.5020
102,44.5020
103,44.5020
104,44.5020
105,44.5020
106,45.5020
107,45.5020
108,45.5020
109,45.5020
110,45.5020
111,45.5020
112,45.5020
113,45.5020
114,46.5020
115,46.5020
116,46.5020
117,46.5020
118,46.5020
119,46.5020
120,46.5020
121,46.5020
122,46.5020
123,46.5020
124,46.5020
125,46.5020
126,46.5020
127,46.5020
128,47.5020
129,47.5020
130,47.5020
131,47.5020
132,47.5020
133,47.5020
134,47.5020
135,47.5020
136,47.5020
137,47.5020
138,47.5020
139,47.5020
140,47.5020
141,47.5020
142,47.5020
143,47.5020
144,47.5020
145,47.5020
146,47.5020
147,47.5020
148,47.5020
149,47.5020
150,47.5020
151,47.5020
152,47.5020
153,47.5020
154,47.5020
155,47.5020
156,47.5020
157,47.5020
158,47.5020
159,47.5020
160,48.5020
161,48.5020
162,48.5020
163,48.5020
164,48.5020
165,48.5020
166,48.5020
167,48.5020
168,48.5020
169,48.5020
170,48.5020
171,48.5020
172,48.5020
173,48.5020
174,48.5020
175,48.5020
176,48.5020
177,48.5020
178,48.5020
179,48.5020
180,48.5020
181,48.5020
182,48.5020
183,48.5020
184,48.5020
185,48.5020
186,48.5020
187,48.5020
188,48.5020
189,48.5020
190,48.5020
191,48.5020
192,48.5020
193,47.5020
194,47.5020
195,47.5020
196,47.5020
197,47.5020
198,47.5020
199,47.5020
200,47.5020
201,47.5020
202,47.5020
203,47.5020
204,47.5020
205,47.5020
206,47.5020
207,47.5020
208,47.5020
209,47.5020
210,47.5020
211,47.5020
212,46.5020
213,46.5020
214,46.5020
215,46.5020
216,46.5020
217,46.5020
218,46.5020
219,45.5020
220,45.5020
221,45.5020
222,45.5020
223,45.5020
224,45.5020
225,44.5020
226,44.5020
227,44.5020
228,44.5020
229,44.5020
230,44.5020
231,43.5020
232,43.5020
233,43.5020
234,43.5020
235,43.5020
236,42.5020
237,42.5020
238,42.5020
239,42.5020
240,41.5020
241,41.5020
242,41.5020
243,41.5020
244,40.5020
245,40.5020
246,40.5020
247,40.5020
248,39.5020
249,39.5020
250,39.5020
251,39.5020
252,38.5020
253,38.5020
254,38.5020
255,38.5020
256,37.5020
257,37.5020
258,37.5020
259,36.5020
260,36.5020
261,36.5020
262,36.5020
263,35.5020
264,35.5020
265,35.5020
266,34.5020
267,34.5020
268,34.5020
269,34.5020
270,34.5020
271,33.5020
272,33.5020
273,33.5020
274,33.5020
275,33.5020
276,33.5020
277,32.5020
278,32.5020
279,32.5020
280,32.5020
281,32.5020
282,31.5020
283,31.5020
284,31.5020
285,31.5020
286,30.5020
287,30.5020
288,30.5020
289,30.5020
290,29.5020
291,29.5020
292,29.5020
293,29.5020
294,28.5020
295,28.5020
296,28.5020
297,28.5020
298,28.5020
299,28.5020
300,28.5020
301,27.5020
302,27.5020
303,27.5020
304,27.5020
305,27.5020
306,26.5020
307,26.5020
308,26.5020
309,26.5020
310,26.5020
311,25.5020
312,25.5020
313,25.5020
314,25.5020
315,25.5020
316,24.5020
317,24.5020
318,24.5020
319,24.5020
320,24.5020
321,23.5020
322,23.5020
323,23.5020
324,22.5020
325,22.5020
326,22.5020
327,22.5020
328,21.5020
329,21.5020
330,21.5020
331,20.5020
332,20.5020
333,20.5020
334,19.5020
335,19.5020
336,19.5020
337,18.5020
338,18.5020
339,18.5020
340,17.5020
341,17.5020
342,17.5020
343,16.5020
344,16.5020
345,16.5020
346,15.5020
347,15.5020
348,14.5020
349,14.5020
350,14.5020
351,13.5020
352,13.5020
353,12.5020
354,12.5020
355,12.5020
356,11.5020
