y,x_sub
0.0,198.498
1.0,198.498
2.0,198.498
3.0,198.498
4.0,198.498
5.0,198.498
6.0,197.498
7.0,197.498
8.0,197.498
9.0,197.498
10.0,197.498
11.0,197.498
12.0,196.498
13.0,196.498
14.0,196.498
15.0,196.498
16.0,196.498
17.0,195.498
18.0,195.498
19.0,195.498
20.0,195.498
21.0,195.498
22.0,194.498
23.0,194.498
24.0,194.498
25.0,194.498
26.0,194.498
27.0,193.498
28.0,193.498
29.0,193.498
30.0,193.498
31.0,193.498
32.0,192.498
33.0,192.498
34.0,192.498
35.0,192.498
36.0,191.498
37.0,191.498
38.0,191.498
39.0,191.498
40.0,190.498
41.0,190.498
42.0,190.498
43.0,190.498
44.0,189.498
45.0,189.498
46.0,189.498
47.0,189.498
48.0,188.498
49.0,188.498
50.0,188.498
51.0,188.498
52.0,187.498
53.0,187.498
54.0,187.498
55.0,187.498
56.0,186.498
57.0,186.498
58.0,186.498
59.0,185.498
60.0,185.498
61.0,185.498
62.0,185.498
63.0,184.498
64.0,184.498
65.0,184.498
66.0,184.498
67.0,183.498
68.0,183.498
69.0,183.498
70.0,182.498
71.0,182.498
72.0,182.498
73.0,181.498
74.0,181.498
75.0,181.498
76.0,181.498
77.0,180.498
78.0,180.498
79.0,180.498
80.0,179.498
81.0,179.498
82.0,179.498
83.0,179.498
84.0,178.498
85.0,178.498
86.0,178.498
87.0,177.498
88.0,177.498
89.0,177.498
90.0,177.498
91.0,176.498
92.0,176.498
93.0,176.498
94.0,175.498
95.0,175.498
96.0,175.498
97.0,175.498
98.0,174.498
99.0,174.498
100.0,174.498
101.0,173.498
102.0,173.498
103.0,173.498
104.0,173.498
105.0,172.498
106.0,172.498
107.0,172.498
108.0,171.498
109.0,171.498
110.0,171.498
111.0,171.498
112.0,170.498
113.0,170.498
114.0,170.498
115.0,170.498
116.0,169.498
117.0,169.498
118.0,169.498
119.0,168.498
120.0,168.498
121.0,168.498
122.0,168.498
123.0,167.498
124.0,167.498
125.0,167.498
126.0,166.498
127.0,166.498
128.0,166.498
129.0,166.498
130.0,165.498
131.0,165.498
132.0,165.498
133.0,165.498
134.0,164.498
135.0,164.498
136.0,164.498
137.0,164.498
138.0,163.498
139.0,163.498
140.0,163.498
141.0,163.498
142.0,162.498
143.0,162.498
144.0,162.498
145.0,162.498
146.0,161.498
147.0,161.498
148.0,161.498
149.0,161.498
150.0,160.498
151.0,160.498
152.0,160.498
153.0,160.498
154.0,159.498
155.0,159.498
156.0,159.498
157.0,159.498
158.0,158.498
159.0,158.498
160.0,158.498
161.0,158.498
162.0,157.498
163.0,157.498
164.0,157.498
165.0,157.498
166.0,156.498
167.0,156.498
168.0,156.498
169.0,156.498
170.0,155.498
171.0,155.498
172.0,155.498
173.0,155.498
174.0,155.498
175.0,154.498
176.0,154.498
177.0,154.498
178.0,154.498
179.0,153.498
180.0,153.498
181.0,153.498
182.0,153.498
183.0,152.498
184.0,152.498
185.0,152.498
186.0,152.498
187.0,151.498
188.0,151.498
189.0,151.498
190.0,151.498
191.0,150.498
192.0,150.498
193.0,150.498
194.0,150.498
195.0,150.498
196.0,149.498
197.0,149.498
198.0,149.498
199.0,149.498
200.0,148.498
201.0,148.498
202.0,148.498
203.0,148.498
204.0,148.498
205.0,148.498
206.0,147.498
207.0,147.498
208.0,147.498
209.0,147.498
210.0,147.498
211.0,147.498
212.0,147.498
213.0,147.498
214.0,147.498
215.0,147.498
216.0,147.498
217.0,147.498
218.0,147.498
219.0,147.498
