y,x_sub
0,17.5020
1,17.5020
2,17.5020
3,17.5020
4,18.5020
5,18.5020
6,18.5020
7,18.5020
8,18.5020
9,18.5020
10,19.5020
11,19.5020
12,19.5020
13,19.5020
14,19.5020
15,19.5020
16,19.5020
17,19.5020
18,19.5020
19,19.5020
20,19.5020
21,19.5020
22,19.5020
23,19.5020
24,19.5020
25,19.5020
26,19.5020
27,19.5020
28,19.5020
29,19.5020
30,19.5020
31,19.5020
32,19.5020
33,19.5020
34,19.5020
35,20.5020
36,20.5020
37,20.5020
38,20.5020
39,20.5020
40,20.5020
41,20.5020
42,20.5020
43,20.5020
44,20.5020
45,20.5020
46,20.5020
47,20.5020
48,21.5020
49,21.5020
50,21.5020
51,21.5020
52,21.5020
53,21.5020
54,21.5020
55,21.5020
56,21.5020
57,22.5020
58,22.5020
59,22.5020
60,22.5020
61,22.5020
62,22.5020
63,22.5020
64,22.5020
65,23.5020
66,23.5020
67,23.5020
68,23.5020
69,23.5020
70,23.5020
71,24.5020
72,24.5020
73,24.5020
74,24.5020
75,24.5020
76,24.5020
77,25.5020
78,25.5020
79,25.5020
80,25.5020
81,25.5020
82,25.5020
83,26.5020
84,26.5020
85,26.5020
86,26.5020
87,26.5020
88,26.5020
89,26.5020
90,27.5020
91,27.5020
92,27.5020
93,27.5020
94,27.5020
95,28.5020
96,28.5020
97,28.5020
98,28.5020
99,28.5020
100,28.5020
101,29.5020
102,29.5020
103,29.5020
104,29.5020
105,29.5020
106,30.5020
107,30.5020
108,30.5020
109,30.5020
110,30.5020
111,31.5020
112,31.5020
113,31.5020
114,31.5020
115,31.5020
116,31.5020
117,32.5020
118,32.5020
119,32.5020
120,32.5020
121,32.5020
122,33.5020
123,33.5020
124,33.5020
125,33.5020
126,33.5020
127,33.5020
128,34.5020
129,34.5020
130,34.5020
131,34.5020
132,34.5020
133,35.5020
134,35.5020
135,35.5020
136,35.5020
137,35.5020
138,35.5020
139,35.5020
140,36.5020
141,36.5020
142,36.5020
143,36.5020
144,36.5020
145,36.5020
146,36.5020
147,37.5020
148,37.5020
149,37.5020
150,37.5020
151,37.5020
152,37.5020
153,37.5020
154,37.5020
155,37.5020
156,37.5020
157,37.5020
158,38.5020
159,38.5020
160,38.5020
161,38.5020
162,38.5020
163,38.5020
164,38.5020
165,38.5020
166,38.5020
167,38.5020
168,38.5020
169,38.5020
170,39.5020
171,39.5020
172,39.5020
173,39.5020
174,39.5020
175,39.5020
176,39.5020
177,39.5020
178,39.5020
179,39.5020
180,39.5020
181,39.5020
182,39.5020
183,39.5020
184,40.5020
185,40.5020
186,40.5020
187,40.5020
188,40.5020
189,40.5020
190,40.5020
191,40.5020
192,40.5020
193,40.5020
194,41.5020
195,41.5020
196,41.5020
197,41.5020
198,41.5020
199,41.5020
200,41.5020
201,41.5020
202,42.5020
203,42.5020
204,42.5020
205,42.5020
206,42.5020
207,42.5020
208,42.5020
209,42.5020
210,42.5020
211,43.5020
212,43.5020
213,43.5020
214,43.5020
215,43.5020
216,43.5020
217,43.5020
218,43.5020
219,43.5020
220,43.5020
221,43.5020
222,43.5020
223,43.5020
224,43.5020
225,43.5020
226,43.5020
227,43.5020
228,43.5020
229,43.5020
230,43.5020
231,43.5020
232,43.5020
233,43.5020
234,43.5020
235,43.5020
236,43.5020
237,43.5020
238,43.5020
239,43.5020
240,43.5020
241,43.5020
242,43.5020
243,43.5020
244,43.5020
245,43.5020
246,43.5020
247,43.5020
248,43.5020
249,43.5020
250,43.5020
251,43.5020
252,43.5020
253,43.5020
254,43.5020
255,43.5020
256,43.5020
257,43.5020
258,43.5020
259,43.5020
260,43.5020
261,43.5020
262,43.5020
263,43.5020
264,43.5020
265,43.5020
266,42.5020
267,42.5020
268,42.5020
269,42.5020
270,42.5020
271,42.5020
272,42.5020
273,42.5020
274,42.5020
275,42.5020
276,42.5020
277,42.5020
278,42.5020
279,41.5020
280,41.5020
281,41.5020
282,41.5020
283,41.5020
284,41.5020
285,41.5020
286,40.5020
287,40.5020
288,40.5020
289,40.5020
290,39.5020
291,39.5020
292,39.5020
293,39.5020
294,38.5020
295,38.5020
296,38.5020
297,38.5020
298,37.5020
299,37.5020
300,37.5020
301,37.5020
302,36.5020
303,36.5020
304,36.5020
305,36.5020
306,35.5020
307,35.5020
308,35.5020
309,35.5020
310,34.5020
311,34.5020
312,34.5020
313,33.5020
314,33.5020
315,33.5020
316,33.5020
317,32.5020
318,32.5020
319,32.5020
320,31.5020
321,31.5020
322,31.5020
323,30.5020
324,30.5020
325,30.5020
326,30.5020
327,29.5020
328,29.5020
329,29.5020
330,28.5020
331,28.5020
332,28.5020
333,27.5020
334,27.5020
335,27.5020
336,27.5020
337,26.5020
338,26.5020
339,26.5020
340,25.5020
341,25.5020
342,25.5020
343,24.5020
344,24.5020
345,24.5020
346,24.5020
347,23.5020
348,23.5020
349,23.5020
350,22.5020
351,22.5020
352,22.5020
353,22.5020
354,21.5020
355,21.5020
356,21.5020
357,20.5020
358,20.5020
359,20.5020
360,20.5020
361,19.5020
362,19.5020
363,19.5020
364,18.5020
365,18.5020
366,18.5020
367,18.5020
368,17.5020
369,17.5020
370,17.5020
371,16.5020
372,16.5020
373,16.5020
374,15.5020
