y,x_sub
0.0,15.502
1.0,15.502
2.0,15.502
3.0,15.502
4.0,15.502
5.0,15.502
6.0,15.502
7.0,16.502
8.0,16.502
9.0,16.502
10.0,16.502
11.0,16.502
12.0,17.502
13.0,17.502
14.0,17.502
15.0,17.502
16.0,17.502
17.0,18.502
18.0,18.502
19.0,18.502
20.0,18.502
21.0,18.502
22.0,19.502
23.0,19.502
24.0,19.502
25.0,19.502
26.0,20.502
27.0,20.502
28.0,20.502
29.0,20.502
30.0,21.502
31.0,21.502
32.0,21.502
33.0,21.502
34.0,22.502
35.0,22.502
36.0,22.502
37.0,22.502
38.0,23.502
39.0,23.502
40.0,23.502
41.0,23.502
42.0,24.502
43.0,24.502
44.0,24.502
45.0,24.502
46.0,25.502
47.0,25.502
48.0,25.502
49.0,25.502
50.0,26.502
51.0,26.502
52.0,26.502
53.0,27.502
54.0,27.502
55.0,27.502
56.0,27.502
57.0,28.502
58.0,28.502
59.0,28.502
60.0,28.502
61.0,29.502
62.0,29.502
63.0,29.502
64.0,30.502
65.0,30.502
66.0,30.502
67.0,30.502
68.0,31.502
69.0,31.502
70.0,31.502
71.0,32.502
72.0,32.502
73.0,32.502
74.0,32.502
75.0,32.502
76.0,33.502
77.0,33.502
78.0,33.502
79.0,33.502
80.0,34.502
81.0,34.502
82.0,34.502
83.0,34.502
84.0,34.502
85.0,35.502
86.0,35.502
87.0,35.502
88.0,35.502
89.0,35.502
90.0,35.502
91.0,36.502
92.0,36.502
93.0,36.502
94.0,36.502
95.0,36.502
96.0,36.502
97.0,36.502
98.0,36.502
99.0,37.502
100.0,37.502
101.0,37.502
102.0,37.502
103.0,37.502
104.0,37.502
105.0,37.502
106.0,37.502
107.0,37.502
108.0,37.502
109.0,37.502
110.0,37.502
111.0,36.502
112.0,36.502
113.0,36.502
114.0,36.502
115.0,36.502
116.0,36.502
117.0,36.502
118.0,36.502
119.0,36.502
120.0,36.502
121.0,36.502
122.0,36.502
123.0,36.502
124.0,36.502
125.0,36.502
126.0,36.502
127.0,36.502
128.0,36.502
129.0,35.502
130.0,35.502
131.0,35.502
132.0,35.502
133.0,35.502
134.0,35.502
135.0,35.502
136.0,35.502
137.0,35.502
138.0,35.502
139.0,35.502
140.0,35.502
141.0,35.502
142.0,35.502
143.0,35.502
144.0,35.502
145.0,35.502
146.0,35.502
147.0,35.502
148.0,35.502
149.0,35.502
150.0,35.502
151.0,35.502
152.0,35.502
153.0,35.502
154.0,35.502
155.0,35.502
156.0,35.502
157.0,35.502
158.0,35.502
159.0,35.502
160.0,35.502
161.0,35.502
162.0,35.502
163.0,35.502
164.0,35.502
165.0,35.502
166.0,35.502
167.0,35.502
168.0,35.502
169.0,35.502
170.0,35.502
171.0,35.502
172.0,35.502
173.0,35.502
174.0,35.502
175.0,35.502
176.0,35.502
177.0,35.502
178.0,35.502
179.0,35.502
180.0,35.502
181.0,35.502
182.0,35.502
183.0,35.502
184.0,35.502
185.0,35.502
186.0,35.502
187.0,35.502
188.0,35.502
189.0,35.502
190.0,35.502
191.0,35.502
192.0,35.502
193.0,35.502
194.0,35.502
195.0,35.502
196.0,35.502
197.0,35.502
198.0,35.502
199.0,35.502
200.0,35.502
201.0,34.502
202.0,34.502
203.0,34.502
204.0,34.502
205.0,34.502
206.0,34.502
207.0,34.502
208.0,34.502
209.0,34.502
210.0,33.502
211.0,33.502
212.0,33.502
213.0,33.502
214.0,33.502
215.0,33.502
216.0,33.502
217.0,32.502
218.0,32.502
219.0,32.502
220.0,32.502
221.0,32.502
222.0,31.502
223.0,31.502
224.0,31.502
225.0,31.502
226.0,31.502
227.0,31.502
228.0,30.502
229.0,30.502
230.0,30.502
231.0,30.502
232.0,29.502
233.0,29.502
234.0,29.502
235.0,29.502
236.0,29.502
237.0,28.502
238.0,28.502
239.0,28.502
240.0,27.502
241.0,27.502
242.0,27.502
243.0,27.502
244.0,26.502
245.0,26.502
246.0,26.502
247.0,25.502
248.0,25.502
249.0,25.502
250.0,25.502
251.0,24.502
252.0,24.502
253.0,24.502
254.0,23.502
255.0,23.502
256.0,23.502
257.0,23.502
258.0,22.502
259.0,22.502
260.0,22.502
261.0,21.502
262.0,21.502
263.0,21.502
264.0,20.502
265.0,20.502
266.0,20.502
267.0,19.502
268.0,19.502
269.0,19.502
270.0,18.502
271.0,18.502
272.0,18.502
273.0,17.502
274.0,17.502
275.0,17.502
276.0,16.502
277.0,16.502
278.0,16.502
279.0,16.502
280.0,15.502
281.0,15.502
282.0,15.502
283.0,15.502
284.0,14.502
285.0,14.502
286.0,14.502
287.0,14.502
288.0,13.502
289.0,13.502
290.0,13.502
291.0,13.502
292.0,12.502
293.0,12.502
294.0,12.502
295.0,12.502
296.0,12.502
297.0,11.502
298.0,11.502
299.0,11.502
300.0,11.502
301.0,11.502
302.0,10.502
303.0,10.502
304.0,10.502
305.0,10.502
306.0,10.502
307.0,10.502
308.0,9.502
309.0,9.502
310.0,9.502
311.0,9.502
312.0,9.502
313.0,9.502
314.0,9.502
315.0,8.502
316.0,8.502
317.0,8.502
318.0,8.502
319.0,8.502
320.0,8.502
321.0,8.502
322.0,8.502
323.0,8.502
324.0,8.502
325.0,7.502
326.0,7.502
327.0,7.502
328.0,7.502
