y,x_sub
0.0,175.498
1.0,175.498
2.0,176.498
3.0,176.498
4.0,176.498
5.0,176.498
6.0,176.498
7.0,176.498
8.0,176.498
9.0,176.498
10.0,176.498
11.0,176.498
12.0,176.498
13.0,176.498
14.0,176.498
15.0,176.498
16.0,176.498
17.0,176.498
18.0,176.498
19.0,176.498
20.0,176.498
21.0,176.498
22.0,176.498
23.0,176.498
24.0,176.498
25.0,176.498
26.0,175.498
27.0,175.498
28.0,175.498
29.0,175.498
30.0,175.498
31.0,175.498
32.0,175.498
33.0,175.498
34.0,174.498
35.0,174.498
36.0,174.498
37.0,174.498
38.0,174.498
39.0,174.498
40.0,173.498
41.0,173.498
42.0,173.498
43.0,173.498
44.0,173.498
45.0,172.498
46.0,172.498
47.0,172.498
48.0,172.498
49.0,172.498
50.0,171.498
51.0,171.498
52.0,171.498
53.0,171.498
54.0,171.498
55.0,170.498
56.0,170.498
57.0,170.498
58.0,170.498
59.0,169.498
60.0,169.498
61.0,169.498
62.0,169.498
63.0,168.498
64.0,168.498
65.0,168.498
66.0,168.498
67.0,167.498
68.0,167.498
69.0,167.498
70.0,167.498
71.0,167.498
72.0,166.498
73.0,166.498
74.0,166.498
75.0,166.498
76.0,165.498
77.0,165.498
78.0,165.498
79.0,165.498
80.0,164.498
81.0,164.498
82.0,164.498
83.0,164.498
84.0,163.498
85.0,163.498
86.0,163.498
87.0,163.498
88.0,162.498
89.0,162.498
90.0,162.498
91.0,162.498
92.0,161.498
93.0,161.498
94.0,161.498
95.0,161.498
96.0,160.498
97.0,160.498
98.0,160.498
99.0,160.498
100.0,159.498
101.0,159.498
102.0,159.498
103.0,159.498
104.0,159.498
105.0,158.498
106.0,158.498
107.0,158.498
108.0,158.498
109.0,157.498
110.0,157.498
111.0,157.498
112.0,157.498
113.0,156.498
114.0,156.498
115.0,156.498
116.0,156.498
117.0,156.498
118.0,155.498
119.0,155.498
120.0,155.498
121.0,155.498
122.0,154.498
123.0,154.498
124.0,154.498
125.0,154.498
126.0,153.498
127.0,153.498
128.0,153.498
129.0,153.498
130.0,153.498
131.0,152.498
132.0,152.498
133.0,152.498
134.0,152.498
135.0,151.498
136.0,151.498
137.0,151.498
138.0,150.498
139.0,150.498
140.0,150.498
141.0,150.498
142.0,149.498
143.0,149.498
144.0,149.498
145.0,149.498
146.0,148.498
147.0,148.498
148.0,148.498
149.0,147.498
150.0,147.498
151.0,147.498
152.0,147.498
153.0,146.498
154.0,146.498
155.0,146.498
156.0,145.498
157.0,145.498
158.0,145.498
159.0,145.498
160.0,144.498
161.0,144.498
162.0,144.498
163.0,143.498
164.0,143.498
165.0,143.498
166.0,142.498
167.0,142.498
168.0,142.498
169.0,141.498
170.0,141.498
171.0,141.498
172.0,140.498
173.0,140.498
174.0,140.498
175.0,139.498
176.0,139.498
177.0,139.498
178.0,138.498
179.0,138.498
180.0,138.498
181.0,137.498
182.0,137.498
183.0,137.498
184.0,136.498
185.0,136.498
186.0,136.498
187.0,135.498
188.0,135.498
189.0,135.498
190.0,134.498
191.0,134.498
192.0,134.498
193.0,134.498
194.0,133.498
195.0,133.498
196.0,133.498
197.0,133.498
198.0,132.498
199.0,132.498
200.0,132.498
201.0,132.498
202.0,132.498
203.0,132.498
204.0,132.498
205.0,132.498
206.0,131.498
207.0,131.498
208.0,131.498
209.0,131.498
210.0,131.498
211.0,131.498
212.0,131.498
213.0,131.498
214.0,131.498
215.0,131.498
216.0,131.498
217.0,131.498
218.0,131.498
219.0,132.498
220.0,132.498
221.0,132.498
222.0,132.498
223.0,132.498
224.0,132.498
225.0,132.498
226.0,132.498
227.0,133.498
228.0,133.498
229.0,133.498
230.0,133.498
231.0,133.498
232.0,134.498
233.0,134.498
234.0,134.498
235.0,134.498
236.0,135.498
237.0,135.498
238.0,135.498
239.0,135.498
240.0,136.498
241.0,136.498
242.0,137.498
243.0,137.498
244.0,137.498
245.0,138.498
246.0,138.498
247.0,138.498
248.0,139.498
249.0,139.498
250.0,140.498
251.0,140.498
252.0,140.498
253.0,141.498
254.0,141.498
255.0,142.498
256.0,142.498
257.0,143.498
258.0,143.498
259.0,143.498
260.0,144.498
261.0,144.498
262.0,145.498
263.0,145.498
264.0,146.498
265.0,146.498
266.0,147.498
267.0,147.498
268.0,148.498
269.0,148.498
270.0,149.498
271.0,149.498
272.0,150.498
273.0,150.498
274.0,151.498
275.0,151.498
276.0,152.498
277.0,152.498
278.0,153.498
279.0,153.498
280.0,154.498
281.0,154.498
282.0,155.498
283.0,155.498
284.0,156.498
285.0,156.498
286.0,157.498
287.0,157.498
288.0,158.498
289.0,158.498
290.0,159.498
291.0,159.498
292.0,160.498
293.0,160.498
294.0,161.498
295.0,161.498
296.0,162.498
297.0,162.498
298.0,163.498
299.0,163.498
300.0,164.498
301.0,164.498
302.0,165.498
303.0,165.498
304.0,166.498
305.0,166.498
306.0,166.498
307.0,167.498
308.0,167.498
309.0,168.498
310.0,168.498
311.0,169.498
312.0,169.498
313.0,169.498
314.0,170.498
315.0,170.498
316.0,171.498
317.0,171.498
318.0,172.498
319.0,172.498
320.0,172.498
321.0,173.498
322.0,173.498
323.0,174.498
324.0,174.498
325.0,174.498
326.0,175.498
327.0,175.498
328.0,176.498
