y,x_sub
0.0,208.498
1.0,208.498
2.0,207.498
3.0,207.498
4.0,207.498
5.0,207.498
6.0,207.498
7.0,207.498
8.0,207.498
9.0,207.498
10.0,207.498
11.0,207.498
12.0,207.498
13.0,207.498
14.0,207.498
15.0,207.498
16.0,207.498
17.0,206.498
18.0,206.498
19.0,206.498
20.0,206.498
21.0,206.498
22.0,206.498
23.0,206.498
24.0,206.498
25.0,206.498
26.0,206.498
27.0,205.498
28.0,205.498
29.0,205.498
30.0,205.498
31.0,205.498
32.0,205.498
33.0,205.498
34.0,205.498
35.0,204.498
36.0,204.498
37.0,204.498
38.0,204.498
39.0,204.498
40.0,204.498
41.0,204.498
42.0,204.498
43.0,204.498
44.0,203.498
45.0,203.498
46.0,203.498
47.0,203.498
48.0,203.498
49.0,203.498
50.0,203.498
51.0,202.498
52.0,202.498
53.0,202.498
54.0,202.498
55.0,202.498
56.0,202.498
57.0,202.498
58.0,201.498
59.0,201.498
60.0,201.498
61.0,201.498
62.0,201.498
63.0,201.498
64.0,201.498
65.0,201.498
66.0,201.498
67.0,200.498
68.0,200.498
69.0,200.498
70.0,200.498
71.0,200.498
72.0,200.498
73.0,200.498
74.0,200.498
75.0,200.498
76.0,199.498
77.0,199.498
78.0,199.498
79.0,199.498
80.0,199.498
81.0,199.498
82.0,199.498
83.0,199.498
84.0,199.498
85.0,199.498
86.0,199.498
87.0,198.498
88.0,198.498
89.0,198.498
90.0,198.498
91.0,198.498
92.0,198.498
93.0,198.498
94.0,198.498
95.0,198.498
96.0,198.498
97.0,197.498
98.0,197.498
99.0,197.498
100.0,197.498
101.0,197.498
102.0,197.498
103.0,197.498
104.0,197.498
105.0,197.498
106.0,197.498
107.0,197.498
108.0,196.498
109.0,196.498
110.0,196.498
111.0,196.498
112.0,196.498
113.0,196.498
114.0,196.498
115.0,196.498
116.0,196.498
117.0,195.498
118.0,195.498
119.0,195.498
120.0,195.498
121.0,195.498
122.0,195.498
123.0,195.498
124.0,194.498
125.0,194.498
126.0,194.498
127.0,194.498
128.0,194.498
129.0,194.498
130.0,193.498
131.0,193.498
132.0,193.498
133.0,193.498
134.0,193.498
135.0,192.498
136.0,192.498
137.0,192.498
138.0,192.498
139.0,192.498
140.0,191.498
141.0,191.498
142.0,191.498
143.0,191.498
144.0,191.498
145.0,191.498
146.0,190.498
147.0,190.498
148.0,190.498
149.0,190.498
150.0,190.498
151.0,190.498
152.0,189.498
153.0,189.498
154.0,189.498
155.0,189.498
156.0,189.498
157.0,189.498
158.0,188.498
159.0,188.498
160.0,188.498
161.0,188.498
162.0,188.498
163.0,188.498
164.0,187.498
165.0,187.498
166.0,187.498
167.0,187.498
168.0,187.498
169.0,187.498
170.0,186.498
171.0,186.498
172.0,186.498
173.0,186.498
174.0,186.498
175.0,186.498
176.0,186.498
177.0,185.498
178.0,185.498
179.0,185.498
180.0,185.498
181.0,185.498
182.0,185.498
183.0,185.498
184.0,184.498
185.0,184.498
186.0,184.498
187.0,184.498
188.0,184.498
189.0,184.498
190.0,184.498
191.0,183.498
192.0,183.498
193.0,183.498
194.0,183.498
195.0,183.498
196.0,183.498
197.0,183.498
198.0,182.498
199.0,182.498
200.0,182.498
201.0,182.498
202.0,182.498
203.0,182.498
204.0,182.498
205.0,181.498
206.0,181.498
207.0,181.498
208.0,181.498
209.0,181.498
210.0,181.498
211.0,181.498
212.0,181.498
213.0,181.498
214.0,181.498
215.0,181.498
216.0,181.498
217.0,181.498
218.0,181.498
219.0,181.498
220.0,181.498
221.0,181.498
222.0,181.498
223.0,181.498
224.0,181.498
225.0,182.498
226.0,182.498
227.0,182.498
228.0,182.498
229.0,182.498
230.0,182.498
231.0,182.498
232.0,182.498
233.0,183.498
234.0,183.498
235.0,183.498
236.0,183.498
237.0,183.498
238.0,183.498
239.0,183.498
240.0,184.498
241.0,184.498
242.0,184.498
243.0,184.498
244.0,184.498
245.0,184.498
246.0,184.498
247.0,185.498
248.0,185.498
249.0,185.498
250.0,185.498
251.0,185.498
252.0,185.498
253.0,185.498
254.0,186.498
255.0,186.498
256.0,186.498
257.0,186.498
258.0,186.498
259.0,186.498
260.0,186.498
261.0,186.498
262.0,187.498
263.0,187.498
264.0,187.498
265.0,187.498
266.0,187.498
267.0,187.498
268.0,187.498
269.0,187.498
270.0,187.498
271.0,187.498
272.0,188.498
273.0,188.498
274.0,188.498
275.0,188.498
