y,x_sub
0,19.5020
1,20.5020
2,20.5020
3,20.5020
4,21.5020
5,21.5020
6,21.5020
7,21.5020
8,22.5020
9,22.5020
10,22.5020
11,22.5020
12,23.5020
13,23.5020
14,23.5020
15,23.5020
16,24.5020
17,24.5020
18,24.5020
19,24.5020
20,25.5020
21,25.5020
22,25.5020
23,25.5020
24,25.5020
25,25.5020
26,25.5020
27,25.5020
28,26.5020
29,26.5020
30,26.5020
31,26.5020
32,26.5020
33,26.5020
34,26.5020
35,26.5020
36,26.5020
37,27.5020
38,27.5020
39,27.5020
40,27.5020
41,27.5020
42,27.5020
43,27.5020
44,27.5020
45,27.5020
46,28.5020
47,28.5020
48,28.5020
49,28.5020
50,28.5020
51,28.5020
52,28.5020
53,28.5020
54,29.5020
55,29.5020
56,29.5020
57,29.5020
58,29.5020
59,29.5020
60,29.5020
61,29.5020
62,29.5020
63,29.5020
64,29.5020
65,30.5020
66,30.5020
67,30.5020
68,30.5020
69,30.5020
70,30.5020
71,30.5020
72,30.5020
73,30.5020
74,30.5020
75,30.5020
76,31.5020
77,31.5020
78,31.5020
79,31.5020
80,31.5020
81,31.5020
82,31.5020
83,31.5020
84,31.5020
85,31.5020
86,31.5020
87,31.5020
88,32.5020
89,32.5020
90,32.5020
91,32.5020
92,32.5020
93,32.5020
94,32.5020
95,32.5020
96,32.5020
97,32.5020
98,32.5020
99,32.5020
100,33.5020
101,33.5020
102,33.5020
103,33.5020
104,33.5020
105,33.5020
106,33.5020
107,33.5020
108,33.5020
109,33.5020
110,33.5020
111,33.5020
112,33.5020
113,33.5020
114,34.5020
115,34.5020
116,34.5020
117,34.5020
118,34.5020
119,34.5020
120,34.5020
121,34.5020
122,34.5020
123,34.5020
124,34.5020
125,34.5020
126,34.5020
127,34.5020
128,34.5020
129,35.5020
130,35.5020
131,35.5020
132,35.5020
133,35.5020
134,35.5020
135,35.5020
136,35.5020
137,35.5020
138,35.5020
139,35.5020
140,35.5020
141,35.5020
142,35.5020
143,35.5020
144,35.5020
145,35.5020
146,36.5020
147,36.5020
148,36.5020
149,36.5020
150,36.5020
151,36.5020
152,36.5020
153,36.5020
154,36.5020
155,36.5020
156,36.5020
157,36.5020
158,36.5020
159,36.5020
160,36.5020
161,36.5020
162,36.5020
163,36.5020
164,35.5020
165,35.5020
166,35.5020
167,35.5020
168,35.5020
169,35.5020
170,35.5020
171,35.5020
172,35.5020
173,35.5020
174,35.5020
175,35.5020
176,35.5020
177,35.5020
178,35.5020
179,35.5020
180,35.5020
181,35.5020
182,35.5020
183,34.5020
184,34.5020
185,34.5020
186,34.5020
187,34.5020
188,34.5020
189,34.5020
190,34.5020
191,33.5020
192,33.5020
193,33.5020
194,33.5020
195,33.5020
196,33.5020
197,32.5020
198,32.5020
199,32.5020
200,32.5020
201,32.5020
202,31.5020
203,31.5020
204,31.5020
205,31.5020
206,30.5020
207,30.5020
208,30.5020
209,30.5020
210,29.5020
211,29.5020
212,29.5020
213,29.5020
214,28.5020
215,28.5020
216,28.5020
217,28.5020
218,27.5020
219,27.5020
220,27.5020
221,26.5020
222,26.5020
223,26.5020
224,26.5020
225,25.5020
226,25.5020
227,25.5020
228,25.5020
229,24.5020
230,24.5020
231,24.5020
232,23.5020
233,23.5020
234,23.5020
235,22.5020
236,22.5020
237,22.5020
238,22.5020
239,21.5020
240,21.5020
241,21.5020
242,20.5020
243,20.5020
244,20.5020
245,20.5020
246,19.5020
247,19.5020
248,19.5020
249,19.5020
250,18.5020
251,18.5020
252,18.5020
253,18.5020
254,18.5020
255,18.5020
256,17.5020
257,17.5020
258,17.5020
259,17.5020
