y,x_sub
0,189.4980
1,188.4980
2,188.4980
3,188.4980
4,188.4980
5,187.4980
6,187.4980
7,187.4980
8,187.4980
9,186.4980
10,186.4980
11,186.4980
12,186.4980
13,185.4980
14,185.4980
15,185.4980
16,185.4980
17,184.4980
18,184.4980
19,184.4980
20,184.4980
21,184.4980
22,184.4980
23,183.4980
24,183.4980
25,183.4980
26,183.4980
27,183.4980
28,183.4980
29,183.4980
30,183.4980
31,183.4980
32,183.4980
33,182.4980
34,182.4980
35,182.4980
36,182.4980
37,182.4980
38,182.4980
39,182.4980
40,182.4980
41,182.4980
42,181.4980
43,181.4980
44,181.4980
45,181.4980
46,181.4980
47,181.4980
48,180.4980
49,180.4980
50,180.4980
51,180.4980
52,180.4980
53,180.4980
54,180.4980
55,179.4980
56,179.4980
57,179.4980
58,179.4980
59,179.4980
60,179.4980
61,178.4980
62,178.4980
63,178.4980
64,178.4980
65,178.4980
66,178.4980
67,178.4980
68,177.4980
69,177.4980
70,177.4980
71,177.4980
72,177.4980
73,177.4980
74,176.4980
75,176.4980
76,176.4980
77,176.4980
78,176.4980
79,176.4980
80,175.4980
81,175.4980
82,175.4980
83,175.4980
84,175.4980
85,174.4980
86,174.4980
87,174.4980
88,174.4980
89,174.4980
90,174.4980
91,173.4980
92,173.4980
93,173.4980
94,173.4980
95,173.4980
96,172.4980
97,172.4980
98,172.4980
99,172.4980
100,172.4980
101,172.4980
102,171.4980
103,171.4980
104,171.4980
105,171.4980
106,170.4980
107,170.4980
108,170.4980
109,170.4980
110,169.4980
111,169.4980
112,169.4980
113,169.4980
114,168.4980
115,168.4980
116,168.4980
117,168.4980
118,168.4980
119,167.4980
120,167.4980
121,167.4980
122,167.4980
123,166.4980
124,166.4980
125,166.4980
126,165.4980
127,165.4980
128,165.4980
129,164.4980
130,164.4980
131,164.4980
132,163.4980
133,163.4980
134,163.4980
135,162.4980
136,162.4980
137,162.4980
138,161.4980
139,161.4980
140,161.4980
141,161.4980
142,160.4980
143,160.4980
144,160.4980
145,159.4980
146,159.4980
147,159.4980
148,158.4980
149,158.4980
150,158.4980
151,158.4980
152,157.4980
153,157.4980
154,157.4980
155,157.4980
156,156.4980
157,156.4980
158,156.4980
159,156.4980
160,155.4980
161,155.4980
162,155.4980
163,155.4980
164,155.4980
165,155.4980
166,154.4980
167,154.4980
168,154.4980
169,154.4980
170,154.4980
171,154.4980
172,153.4980
173,153.4980
174,153.4980
175,153.4980
176,153.4980
177,153.4980
178,153.4980
179,152.4980
180,152.4980
181,152.4980
182,152.4980
183,152.4980
184,152.4980
185,152.4980
186,152.4980
187,152.4980
188,152.4980
189,152.4980
190,152.4980
191,152.4980
192,152.4980
193,152.4980
194,152.4980
195,152.4980
196,152.4980
197,152.4980
198,152.4980
199,152.4980
200,152.4980
201,152.4980
202,152.4980
203,152.4980
204,152.4980
205,152.4980
206,152.4980
207,152.4980
208,152.4980
209,152.4980
210,152.4980
211,152.4980
212,153.4980
213,153.4980
214,153.4980
215,153.4980
216,153.4980
217,153.4980
218,153.4980
219,153.4980
220,153.4980
221,153.4980
222,153.4980
223,154.4980
224,154.4980
225,154.4980
226,154.4980
227,154.4980
228,154.4980
229,154.4980
230,154.4980
231,155.4980
232,155.4980
233,155.4980
234,155.4980
235,155.4980
236,155.4980
237,156.4980
238,156.4980
239,156.4980
240,156.4980
241,156.4980
242,156.4980
243,157.4980
244,157.4980
245,157.4980
246,157.4980
247,157.4980
248,157.4980
249,158.4980
250,158.4980
251,158.4980
252,158.4980
253,158.4980
254,158.4980
255,158.4980
256,159.4980
257,159.4980
258,159.4980
259,159.4980
