y,x_sub
0.0,19.502
1.0,20.502
2.0,20.502
3.0,20.502
4.0,21.502
5.0,21.502
6.0,21.502
7.0,21.502
8.0,22.502
9.0,22.502
10.0,22.502
11.0,22.502
12.0,23.502
13.0,23.502
14.0,23.502
15.0,23.502
16.0,24.502
17.0,24.502
18.0,24.502
19.0,24.502
20.0,25.502
21.0,25.502
22.0,25.502
23.0,25.502
24.0,25.502
25.0,25.502
26.0,25.502
27.0,25.502
28.0,26.502
29.0,26.502
30.0,26.502
31.0,26.502
32.0,26.502
33.0,26.502
34.0,26.502
35.0,26.502
36.0,26.502
37.0,27.502
38.0,27.502
39.0,27.502
40.0,27.502
41.0,27.502
42.0,27.502
43.0,27.502
44.0,27.502
45.0,27.502
46.0,28.502
47.0,28.502
48.0,28.502
49.0,28.502
50.0,28.502
51.0,28.502
52.0,28.502
53.0,28.502
54.0,29.502
55.0,29.502
56.0,29.502
57.0,29.502
58.0,29.502
59.0,29.502
60.0,29.502
61.0,29.502
62.0,29.502
63.0,29.502
64.0,29.502
65.0,30.502
66.0,30.502
67.0,30.502
68.0,30.502
69.0,30.502
70.0,30.502
71.0,30.502
72.0,30.502
73.0,30.502
74.0,30.502
75.0,30.502
76.0,31.502
77.0,31.502
78.0,31.502
79.0,31.502
80.0,31.502
81.0,31.502
82.0,31.502
83.0,31.502
84.0,31.502
85.0,31.502
86.0,31.502
87.0,31.502
88.0,32.502
89.0,32.502
90.0,32.502
91.0,32.502
92.0,32.502
93.0,32.502
94.0,32.502
95.0,32.502
96.0,32.502
97.0,32.502
98.0,32.502
99.0,32.502
100.0,33.502
101.0,33.502
102.0,33.502
103.0,33.502
104.0,33.502
105.0,33.502
106.0,33.502
107.0,33.502
108.0,33.502
109.0,33.502
110.0,33.502
111.0,33.502
112.0,33.502
113.0,33.502
114.0,34.502
115.0,34.502
116.0,34.502
117.0,34.502
118.0,34.502
119.0,34.502
120.0,34.502
121.0,34.502
122.0,34.502
123.0,34.502
124.0,34.502
125.0,34.502
126.0,34.502
127.0,34.502
128.0,34.502
129.0,35.502
130.0,35.502
131.0,35.502
132.0,35.502
133.0,35.502
134.0,35.502
135.0,35.502
136.0,35.502
137.0,35.502
138.0,35.502
139.0,35.502
140.0,35.502
141.0,35.502
142.0,35.502
143.0,35.502
144.0,35.502
145.0,35.502
146.0,36.502
147.0,36.502
148.0,36.502
149.0,36.502
150.0,36.502
151.0,36.502
152.0,36.502
153.0,36.502
154.0,36.502
155.0,36.502
156.0,36.502
157.0,36.502
158.0,36.502
159.0,36.502
160.0,36.502
161.0,36.502
162.0,36.502
163.0,36.502
164.0,35.502
165.0,35.502
166.0,35.502
167.0,35.502
168.0,35.502
169.0,35.502
170.0,35.502
171.0,35.502
172.0,35.502
173.0,35.502
174.0,35.502
175.0,35.502
176.0,35.502
177.0,35.502
178.0,35.502
179.0,35.502
180.0,35.502
181.0,35.502
182.0,35.502
183.0,34.502
184.0,34.502
185.0,34.502
186.0,34.502
187.0,34.502
188.0,34.502
189.0,34.502
190.0,34.502
191.0,33.502
192.0,33.502
193.0,33.502
194.0,33.502
195.0,33.502
196.0,33.502
197.0,32.502
198.0,32.502
199.0,32.502
200.0,32.502
201.0,32.502
202.0,31.502
203.0,31.502
204.0,31.502
205.0,31.502
206.0,30.502
207.0,30.502
208.0,30.502
209.0,30.502
210.0,29.502
211.0,29.502
212.0,29.502
213.0,29.502
214.0,28.502
215.0,28.502
216.0,28.502
217.0,28.502
218.0,27.502
219.0,27.502
220.0,27.502
221.0,26.502
222.0,26.502
223.0,26.502
224.0,26.502
225.0,25.502
226.0,25.502
227.0,25.502
228.0,25.502
229.0,24.502
230.0,24.502
231.0,24.502
232.0,23.502
233.0,23.502
234.0,23.502
235.0,22.502
236.0,22.502
237.0,22.502
238.0,22.502
239.0,21.502
240.0,21.502
241.0,21.502
242.0,20.502
243.0,20.502
244.0,20.502
245.0,20.502
246.0,19.502
247.0,19.502
248.0,19.502
249.0,19.502
250.0,18.502
251.0,18.502
252.0,18.502
253.0,18.502
254.0,18.502
255.0,18.502
256.0,17.502
257.0,17.502
258.0,17.502
259.0,17.502
