y,x_sub
0.0,189.498
1.0,188.498
2.0,188.498
3.0,188.498
4.0,188.498
5.0,187.498
6.0,187.498
7.0,187.498
8.0,187.498
9.0,186.498
10.0,186.498
11.0,186.498
12.0,186.498
13.0,185.498
14.0,185.498
15.0,185.498
16.0,185.498
17.0,184.498
18.0,184.498
19.0,184.498
20.0,184.498
21.0,184.498
22.0,184.498
23.0,183.498
24.0,183.498
25.0,183.498
26.0,183.498
27.0,183.498
28.0,183.498
29.0,183.498
30.0,183.498
31.0,183.498
32.0,183.498
33.0,182.498
34.0,182.498
35.0,182.498
36.0,182.498
37.0,182.498
38.0,182.498
39.0,182.498
40.0,182.498
41.0,182.498
42.0,181.498
43.0,181.498
44.0,181.498
45.0,181.498
46.0,181.498
47.0,181.498
48.0,180.498
49.0,180.498
50.0,180.498
51.0,180.498
52.0,180.498
53.0,180.498
54.0,180.498
55.0,179.498
56.0,179.498
57.0,179.498
58.0,179.498
59.0,179.498
60.0,179.498
61.0,178.498
62.0,178.498
63.0,178.498
64.0,178.498
65.0,178.498
66.0,178.498
67.0,178.498
68.0,177.498
69.0,177.498
70.0,177.498
71.0,177.498
72.0,177.498
73.0,177.498
74.0,176.498
75.0,176.498
76.0,176.498
77.0,176.498
78.0,176.498
79.0,176.498
80.0,175.498
81.0,175.498
82.0,175.498
83.0,175.498
84.0,175.498
85.0,174.498
86.0,174.498
87.0,174.498
88.0,174.498
89.0,174.498
90.0,174.498
91.0,173.498
92.0,173.498
93.0,173.498
94.0,173.498
95.0,173.498
96.0,172.498
97.0,172.498
98.0,172.498
99.0,172.498
100.0,172.498
101.0,172.498
102.0,171.498
103.0,171.498
104.0,171.498
105.0,171.498
106.0,170.498
107.0,170.498
108.0,170.498
109.0,170.498
110.0,169.498
111.0,169.498
112.0,169.498
113.0,169.498
114.0,168.498
115.0,168.498
116.0,168.498
117.0,168.498
118.0,168.498
119.0,167.498
120.0,167.498
121.0,167.498
122.0,167.498
123.0,166.498
124.0,166.498
125.0,166.498
126.0,165.498
127.0,165.498
128.0,165.498
129.0,164.498
130.0,164.498
131.0,164.498
132.0,163.498
133.0,163.498
134.0,163.498
135.0,162.498
136.0,162.498
137.0,162.498
138.0,161.498
139.0,161.498
140.0,161.498
141.0,161.498
142.0,160.498
143.0,160.498
144.0,160.498
145.0,159.498
146.0,159.498
147.0,159.498
148.0,158.498
149.0,158.498
150.0,158.498
151.0,158.498
152.0,157.498
153.0,157.498
154.0,157.498
155.0,157.498
156.0,156.498
157.0,156.498
158.0,156.498
159.0,156.498
160.0,155.498
161.0,155.498
162.0,155.498
163.0,155.498
164.0,155.498
165.0,155.498
166.0,154.498
167.0,154.498
168.0,154.498
169.0,154.498
170.0,154.498
171.0,154.498
172.0,153.498
173.0,153.498
174.0,153.498
175.0,153.498
176.0,153.498
177.0,153.498
178.0,153.498
179.0,152.498
180.0,152.498
181.0,152.498
182.0,152.498
183.0,152.498
184.0,152.498
185.0,152.498
186.0,152.498
187.0,152.498
188.0,152.498
189.0,152.498
190.0,152.498
191.0,152.498
192.0,152.498
193.0,152.498
194.0,152.498
195.0,152.498
196.0,152.498
197.0,152.498
198.0,152.498
199.0,152.498
200.0,152.498
201.0,152.498
202.0,152.498
203.0,152.498
204.0,152.498
205.0,152.498
206.0,152.498
207.0,152.498
208.0,152.498
209.0,152.498
210.0,152.498
211.0,152.498
212.0,153.498
213.0,153.498
214.0,153.498
215.0,153.498
216.0,153.498
217.0,153.498
218.0,153.498
219.0,153.498
220.0,153.498
221.0,153.498
222.0,153.498
223.0,154.498
224.0,154.498
225.0,154.498
226.0,154.498
227.0,154.498
228.0,154.498
229.0,154.498
230.0,154.498
231.0,155.498
232.0,155.498
233.0,155.498
234.0,155.498
235.0,155.498
236.0,155.498
237.0,156.498
238.0,156.498
239.0,156.498
240.0,156.498
241.0,156.498
242.0,156.498
243.0,157.498
244.0,157.498
245.0,157.498
246.0,157.498
247.0,157.498
248.0,157.498
249.0,158.498
250.0,158.498
251.0,158.498
252.0,158.498
253.0,158.498
254.0,158.498
255.0,158.498
256.0,159.498
257.0,159.498
258.0,159.498
259.0,159.498
