y,x_sub
0,225.4980
1,225.4980
2,225.4980
3,225.4980
4,224.4980
5,224.4980
6,224.4980
7,224.4980
8,224.4980
9,224.4980
10,224.4980
11,224.4980
12,223.4980
13,223.4980
14,223.4980
15,223.4980
16,223.4980
17,223.4980
18,223.4980
19,223.4980
20,223.4980
21,223.4980
22,223.4980
23,223.4980
24,223.4980
25,223.4980
26,223.4980
27,223.4980
28,222.4980
29,222.4980
30,222.4980
31,222.4980
32,222.4980
33,222.4980
34,222.4980
35,222.4980
36,222.4980
37,222.4980
38,222.4980
39,222.4980
40,222.4980
41,222.4980
42,222.4980
43,222.4980
44,222.4980
45,222.4980
46,222.4980
47,223.4980
48,223.4980
49,223.4980
50,223.4980
51,223.4980
52,223.4980
53,223.4980
54,223.4980
55,223.4980
56,223.4980
57,223.4980
58,222.4980
59,222.4980
60,222.4980
61,222.4980
62,222.4980
63,222.4980
64,222.4980
65,222.4980
66,222.4980
67,222.4980
68,222.4980
69,222.4980
70,222.4980
71,222.4980
72,222.4980
73,222.4980
74,222.4980
75,222.4980
76,222.4980
77,222.4980
78,222.4980
79,222.4980
80,222.4980
81,222.4980
82,222.4980
83,222.4980
84,222.4980
85,222.4980
86,221.4980
87,221.4980
88,221.4980
89,221.4980
90,221.4980
91,221.4980
92,221.4980
93,221.4980
94,221.4980
95,221.4980
96,221.4980
97,220.4980
98,220.4980
99,220.4980
100,220.4980
101,220.4980
102,220.4980
103,220.4980
104,220.4980
105,220.4980
106,219.4980
107,219.4980
108,219.4980
109,219.4980
110,219.4980
111,219.4980
112,219.4980
113,219.4980
114,219.4980
115,218.4980
116,218.4980
117,218.4980
118,218.4980
119,218.4980
120,218.4980
121,218.4980
122,218.4980
123,217.4980
124,217.4980
125,217.4980
126,217.4980
127,217.4980
128,217.4980
129,217.4980
130,217.4980
131,217.4980
132,217.4980
133,217.4980
134,217.4980
135,216.4980
136,216.4980
137,216.4980
138,216.4980
139,216.4980
140,216.4980
141,216.4980
142,216.4980
143,216.4980
144,216.4980
145,216.4980
146,216.4980
147,216.4980
148,216.4980
149,216.4980
150,216.4980
151,216.4980
152,216.4980
153,216.4980
154,216.4980
155,216.4980
156,216.4980
157,216.4980
158,216.4980
159,216.4980
160,216.4980
161,216.4980
162,216.4980
163,216.4980
164,216.4980
165,216.4980
166,216.4980
167,216.4980
168,216.4980
169,216.4980
170,216.4980
171,216.4980
172,216.4980
173,216.4980
174,216.4980
175,216.4980
176,216.4980
177,216.4980
178,216.4980
179,215.4980
180,215.4980
181,215.4980
182,215.4980
183,215.4980
184,215.4980
185,215.4980
186,215.4980
187,215.4980
188,215.4980
189,215.4980
190,214.4980
191,214.4980
192,214.4980
193,214.4980
194,214.4980
195,214.4980
196,214.4980
197,214.4980
198,214.4980
199,213.4980
200,213.4980
201,213.4980
202,213.4980
203,213.4980
204,213.4980
205,213.4980
206,213.4980
207,213.4980
208,213.4980
209,213.4980
210,213.4980
211,213.4980
212,213.4980
213,213.4980
214,213.4980
215,213.4980
216,213.4980
217,213.4980
218,213.4980
219,213.4980
220,213.4980
221,213.4980
222,214.4980
223,214.4980
224,214.4980
225,214.4980
226,214.4980
227,214.4980
228,214.4980
229,214.4980
230,214.4980
231,214.4980
232,214.4980
233,214.4980
234,214.4980
235,214.4980
236,214.4980
237,214.4980
238,214.4980
239,214.4980
240,214.4980
241,214.4980
242,214.4980
243,214.4980
244,214.4980
245,214.4980
246,214.4980
247,215.4980
248,215.4980
249,215.4980
250,215.4980
251,215.4980
252,215.4980
253,215.4980
254,215.4980
255,215.4980
256,216.4980
257,216.4980
258,216.4980
259,216.4980
260,216.4980
261,216.4980
262,216.4980
263,216.4980
264,217.4980
265,217.4980
266,217.4980
267,217.4980
268,217.4980
269,217.4980
270,218.4980
271,218.4980
272,218.4980
273,218.4980
274,219.4980
275,219.4980
276,219.4980
277,219.4980
278,219.4980
279,219.4980
280,219.4980
281,220.4980
282,220.4980
283,220.4980
284,220.4980
285,220.4980
286,220.4980
287,220.4980
288,221.4980
289,221.4980
290,221.4980
291,221.4980
292,221.4980
293,221.4980
294,222.4980
295,222.4980
296,222.4980
297,222.4980
298,222.4980
299,222.4980
300,223.4980
301,223.4980
302,223.4980
303,223.4980
304,223.4980
305,224.4980
306,224.4980
307,224.4980
308,224.4980
309,224.4980
310,224.4980
311,225.4980
312,225.4980
313,225.4980
314,225.4980
315,225.4980
316,226.4980
317,226.4980
318,226.4980
319,226.4980
320,226.4980
321,226.4980
322,227.4980
323,227.4980
324,227.4980
325,227.4980
326,227.4980
327,227.4980
328,228.4980
329,228.4980
330,228.4980
331,228.4980
332,228.4980
333,228.4980
334,228.4980
335,229.4980
336,229.4980
337,229.4980
338,229.4980
339,229.4980
340,229.4980
341,229.4980
342,230.4980
343,230.4980
344,230.4980
345,230.4980
346,230.4980
347,230.4980
348,230.4980
349,230.4980
350,231.4980
351,231.4980
352,231.4980
353,231.4980
354,231.4980
355,231.4980
356,231.4980
357,231.4980
358,232.4980
359,232.4980
360,232.4980
361,232.4980
362,232.4980
363,232.4980
364,232.4980
