y,x_sub
0,294.4980
1,294.4980
2,294.4980
3,294.4980
4,293.4980
5,293.4980
6,293.4980
7,293.4980
8,292.4980
9,292.4980
10,292.4980
11,292.4980
12,292.4980
13,291.4980
14,291.4980
15,291.4980
16,291.4980
17,291.4980
18,290.4980
19,290.4980
20,290.4980
21,290.4980
22,290.4980
23,289.4980
24,289.4980
25,289.4980
26,289.4980
27,289.4980
28,288.4980
29,288.4980
30,288.4980
31,288.4980
32,288.4980
33,287.4980
34,287.4980
35,287.4980
36,287.4980
37,287.4980
38,286.4980
39,286.4980
40,286.4980
41,286.4980
42,286.4980
43,285.4980
44,285.4980
45,285.4980
46,285.4980
47,285.4980
48,285.4980
49,284.4980
50,284.4980
51,284.4980
52,284.4980
53,284.4980
54,283.4980
55,283.4980
56,283.4980
57,283.4980
58,283.4980
59,283.4980
60,282.4980
61,282.4980
62,282.4980
63,282.4980
64,282.4980
65,281.4980
66,281.4980
67,281.4980
68,281.4980
69,281.4980
70,281.4980
71,280.4980
72,280.4980
73,280.4980
74,280.4980
75,280.4980
76,279.4980
77,279.4980
78,279.4980
79,279.4980
80,279.4980
81,278.4980
82,278.4980
83,278.4980
84,278.4980
85,278.4980
86,278.4980
87,277.4980
88,277.4980
89,277.4980
90,277.4980
91,277.4980
92,276.4980
93,276.4980
94,276.4980
95,276.4980
96,276.4980
97,276.4980
98,275.4980
99,275.4980
100,275.4980
101,275.4980
102,275.4980
103,274.4980
104,274.4980
105,274.4980
106,274.4980
107,274.4980
108,274.4980
109,274.4980
110,273.4980
111,273.4980
112,273.4980
113,273.4980
114,273.4980
115,273.4980
116,273.4980
117,272.4980
118,272.4980
119,272.4980
120,272.4980
121,272.4980
122,272.4980
123,272.4980
124,271.4980
125,271.4980
126,271.4980
127,271.4980
128,271.4980
129,271.4980
130,270.4980
131,270.4980
132,270.4980
133,270.4980
134,270.4980
135,270.4980
136,270.4980
137,269.4980
138,269.4980
139,269.4980
140,269.4980
141,269.4980
142,269.4980
143,269.4980
144,268.4980
145,268.4980
146,268.4980
147,268.4980
148,268.4980
149,268.4980
150,268.4980
151,267.4980
152,267.4980
153,267.4980
154,267.4980
155,267.4980
156,267.4980
157,267.4980
158,266.4980
159,266.4980
160,266.4980
161,266.4980
162,266.4980
163,266.4980
