y,x_sub
0.0,43.502
1.0,43.502
2.0,43.502
3.0,43.502
4.0,43.502
5.0,44.502
6.0,44.502
7.0,44.502
8.0,44.502
9.0,44.502
10.0,45.502
11.0,45.502
12.0,45.502
13.0,45.502
14.0,46.502
15.0,46.502
16.0,46.502
17.0,46.502
18.0,47.502
19.0,47.502
20.0,47.502
21.0,47.502
22.0,48.502
23.0,48.502
24.0,48.502
25.0,48.502
26.0,48.502
27.0,49.502
28.0,49.502
29.0,49.502
30.0,49.502
31.0,50.502
32.0,50.502
33.0,50.502
34.0,50.502
35.0,51.502
36.0,51.502
37.0,51.502
38.0,51.502
39.0,52.502
40.0,52.502
41.0,52.502
42.0,52.502
43.0,53.502
44.0,53.502
45.0,53.502
46.0,53.502
47.0,54.502
48.0,54.502
49.0,54.502
50.0,54.502
51.0,55.502
52.0,55.502
53.0,55.502
54.0,55.502
55.0,56.502
56.0,56.502
57.0,56.502
58.0,56.502
59.0,57.502
60.0,57.502
61.0,57.502
62.0,57.502
63.0,57.502
64.0,58.502
65.0,58.502
66.0,58.502
67.0,58.502
68.0,59.502
69.0,59.502
70.0,59.502
71.0,59.502
72.0,59.502
73.0,60.502
74.0,60.502
75.0,60.502
76.0,60.502
77.0,60.502
78.0,61.502
79.0,61.502
80.0,61.502
81.0,61.502
82.0,62.502
83.0,62.502
84.0,62.502
85.0,62.502
86.0,62.502
87.0,63.502
88.0,63.502
89.0,63.502
90.0,63.502
91.0,64.502
92.0,64.502
93.0,64.502
94.0,64.502
95.0,64.502
96.0,65.502
97.0,65.502
98.0,65.502
99.0,65.502
100.0,66.502
101.0,66.502
102.0,66.502
103.0,66.502
104.0,67.502
105.0,67.502
106.0,67.502
107.0,67.502
108.0,68.502
109.0,68.502
110.0,68.502
111.0,68.502
112.0,69.502
113.0,69.502
114.0,69.502
115.0,69.502
116.0,70.502
117.0,70.502
118.0,70.502
119.0,70.502
120.0,71.502
121.0,71.502
122.0,71.502
123.0,71.502
124.0,72.502
125.0,72.502
126.0,72.502
127.0,73.502
128.0,73.502
129.0,73.502
130.0,73.502
131.0,74.502
132.0,74.502
133.0,74.502
134.0,75.502
135.0,75.502
136.0,75.502
137.0,75.502
138.0,76.502
139.0,76.502
140.0,76.502
141.0,77.502
142.0,77.502
143.0,77.502
144.0,78.502
145.0,78.502
146.0,78.502
147.0,79.502
148.0,79.502
149.0,79.502
150.0,80.502
151.0,80.502
152.0,80.502
153.0,81.502
154.0,81.502
155.0,81.502
156.0,82.502
157.0,82.502
158.0,82.502
159.0,83.502
160.0,83.502
161.0,83.502
162.0,84.502
163.0,84.502
164.0,84.502
165.0,85.502
166.0,85.502
167.0,85.502
168.0,86.502
169.0,86.502
170.0,86.502
171.0,86.502
172.0,87.502
173.0,87.502
174.0,87.502
175.0,88.502
176.0,88.502
177.0,88.502
178.0,89.502
179.0,89.502
180.0,89.502
181.0,89.502
182.0,90.502
183.0,90.502
184.0,90.502
185.0,91.502
186.0,91.502
187.0,91.502
188.0,92.502
189.0,92.502
190.0,92.502
191.0,93.502
192.0,93.502
193.0,93.502
194.0,93.502
195.0,94.502
196.0,94.502
197.0,94.502
198.0,95.502
199.0,95.502
200.0,95.502
201.0,95.502
202.0,96.502
203.0,96.502
204.0,96.502
205.0,96.502
206.0,97.502
207.0,97.502
208.0,97.502
209.0,97.502
210.0,98.502
211.0,98.502
212.0,98.502
213.0,98.502
214.0,99.502
215.0,99.502
216.0,99.502
217.0,99.502
218.0,99.502
219.0,100.502
220.0,100.502
221.0,100.502
222.0,100.502
223.0,101.502
224.0,101.502
225.0,101.502
226.0,101.502
227.0,101.502
228.0,101.502
229.0,102.502
230.0,102.502
231.0,102.502
232.0,102.502
233.0,102.502
234.0,102.502
235.0,103.502
236.0,103.502
237.0,103.502
238.0,103.502
239.0,103.502
240.0,104.502
241.0,104.502
242.0,104.502
243.0,104.502
244.0,104.502
245.0,104.502
246.0,104.502
247.0,105.502
248.0,105.502
249.0,105.502
250.0,105.502
251.0,105.502
252.0,105.502
253.0,105.502
254.0,106.502
255.0,106.502
256.0,106.502
257.0,106.502
258.0,106.502
259.0,106.502
260.0,106.502
261.0,106.502
262.0,107.502
263.0,107.502
264.0,107.502
265.0,107.502
266.0,107.502
267.0,107.502
268.0,107.502
269.0,107.502
270.0,107.502
271.0,107.502
272.0,107.502
273.0,107.502
274.0,107.502
275.0,106.502
276.0,106.502
277.0,106.502
278.0,106.502
279.0,106.502
280.0,106.502
281.0,105.502
282.0,105.502
283.0,105.502
284.0,105.502
285.0,105.502
286.0,104.502
287.0,104.502
288.0,104.502
289.0,103.502
290.0,103.502
291.0,103.502
292.0,103.502
293.0,102.502
294.0,102.502
295.0,102.502
296.0,101.502
297.0,101.502
298.0,101.502
299.0,100.502
300.0,100.502
301.0,100.502
302.0,99.502
303.0,99.502
304.0,99.502
305.0,98.502
306.0,98.502
307.0,98.502
308.0,97.502
309.0,97.502
310.0,97.502
311.0,96.502
312.0,96.502
313.0,96.502
314.0,95.502
315.0,95.502
316.0,95.502
317.0,95.502
318.0,94.502
319.0,94.502
320.0,94.502
321.0,94.502
322.0,93.502
323.0,93.502
324.0,93.502
325.0,93.502
326.0,92.502
327.0,92.502
328.0,92.502
329.0,91.502
330.0,91.502
331.0,91.502
332.0,91.502
333.0,91.502
334.0,90.502
335.0,90.502
336.0,90.502
337.0,90.502
338.0,90.502
339.0,90.502
340.0,89.502
341.0,89.502
342.0,89.502
343.0,89.502
344.0,89.502
345.0,88.502
346.0,88.502
347.0,88.502
348.0,87.502
349.0,87.502
350.0,87.502
351.0,87.502
352.0,86.502
353.0,86.502
354.0,86.502
355.0,86.502
356.0,86.502
357.0,85.502
358.0,85.502
359.0,85.502
360.0,85.502
361.0,85.502
362.0,84.502
363.0,84.502
364.0,84.502
365.0,84.502
366.0,84.502
367.0,83.502
368.0,83.502
369.0,83.502
370.0,83.502
371.0,83.502
372.0,82.502
373.0,82.502
374.0,82.502
375.0,82.502
376.0,81.502
377.0,81.502
378.0,81.502
379.0,81.502
380.0,80.502
381.0,80.502
382.0,80.502
383.0,80.502
384.0,79.502
385.0,79.502
386.0,79.502
387.0,79.502
388.0,78.502
389.0,78.502
390.0,78.502
391.0,78.502
392.0,77.502
393.0,77.502
394.0,77.502
395.0,77.502
396.0,76.502
397.0,76.502
398.0,76.502
399.0,75.502
400.0,75.502
401.0,75.502
402.0,75.502
403.0,74.502
404.0,74.502
405.0,74.502
406.0,74.502
407.0,73.502
408.0,73.502
409.0,73.502
410.0,72.502
411.0,72.502
412.0,72.502
413.0,72.502
414.0,71.502
415.0,71.502
416.0,71.502
417.0,71.502
418.0,70.502
419.0,70.502
420.0,70.502
421.0,69.502
422.0,69.502
423.0,69.502
424.0,68.502
425.0,68.502
426.0,68.502
