y,x_sub
0.0,22.502
1.0,22.502
2.0,22.502
3.0,22.502
4.0,22.502
5.0,23.502
6.0,23.502
7.0,23.502
8.0,23.502
9.0,23.502
10.0,24.502
11.0,24.502
12.0,24.502
13.0,24.502
14.0,24.502
15.0,24.502
16.0,25.502
17.0,25.502
18.0,25.502
19.0,25.502
20.0,25.502
21.0,26.502
22.0,26.502
23.0,26.502
24.0,26.502
25.0,27.502
26.0,27.502
27.0,27.502
28.0,27.502
29.0,28.502
30.0,28.502
31.0,28.502
32.0,28.502
33.0,28.502
34.0,29.502
35.0,29.502
36.0,29.502
37.0,29.502
38.0,29.502
39.0,30.502
40.0,30.502
41.0,30.502
42.0,30.502
43.0,31.502
44.0,31.502
45.0,31.502
46.0,31.502
47.0,31.502
48.0,32.502
49.0,32.502
50.0,32.502
51.0,32.502
52.0,33.502
53.0,33.502
54.0,33.502
55.0,33.502
56.0,34.502
57.0,34.502
58.0,34.502
59.0,34.502
60.0,35.502
61.0,35.502
62.0,35.502
63.0,35.502
64.0,36.502
65.0,36.502
66.0,36.502
67.0,37.502
68.0,37.502
69.0,37.502
70.0,37.502
71.0,38.502
72.0,38.502
73.0,38.502
74.0,39.502
75.0,39.502
76.0,39.502
77.0,40.502
78.0,40.502
79.0,40.502
80.0,41.502
81.0,41.502
82.0,41.502
83.0,42.502
84.0,42.502
85.0,42.502
86.0,43.502
87.0,43.502
88.0,43.502
89.0,44.502
90.0,44.502
91.0,44.502
92.0,45.502
93.0,45.502
94.0,45.502
95.0,46.502
96.0,46.502
97.0,46.502
98.0,47.502
99.0,47.502
100.0,47.502
101.0,48.502
102.0,48.502
103.0,49.502
104.0,49.502
105.0,49.502
106.0,50.502
107.0,50.502
108.0,50.502
109.0,51.502
110.0,51.502
111.0,52.502
112.0,52.502
113.0,52.502
114.0,53.502
115.0,53.502
116.0,53.502
117.0,54.502
118.0,54.502
119.0,55.502
120.0,55.502
121.0,55.502
122.0,56.502
123.0,56.502
124.0,56.502
125.0,57.502
126.0,57.502
127.0,57.502
128.0,58.502
129.0,58.502
130.0,58.502
131.0,59.502
132.0,59.502
133.0,59.502
134.0,60.502
135.0,60.502
136.0,60.502
137.0,61.502
138.0,61.502
139.0,61.502
140.0,61.502
141.0,62.502
142.0,62.502
143.0,62.502
144.0,62.502
145.0,63.502
146.0,63.502
147.0,63.502
148.0,63.502
149.0,64.502
150.0,64.502
151.0,64.502
152.0,64.502
153.0,64.502
154.0,65.502
155.0,65.502
156.0,65.502
157.0,65.502
158.0,65.502
159.0,66.502
160.0,66.502
161.0,66.502
162.0,66.502
163.0,66.502
164.0,66.502
165.0,67.502
166.0,67.502
167.0,67.502
168.0,67.502
169.0,67.502
170.0,67.502
171.0,67.502
172.0,67.502
173.0,67.502
174.0,67.502
175.0,68.502
176.0,68.502
177.0,68.502
178.0,68.502
179.0,67.502
180.0,67.502
181.0,67.502
182.0,67.502
183.0,67.502
184.0,67.502
185.0,67.502
186.0,67.502
187.0,66.502
188.0,66.502
189.0,66.502
190.0,66.502
191.0,66.502
192.0,65.502
193.0,65.502
194.0,65.502
195.0,65.502
196.0,64.502
197.0,64.502
198.0,64.502
199.0,64.502
200.0,64.502
201.0,63.502
202.0,63.502
203.0,63.502
204.0,63.502
205.0,63.502
206.0,62.502
207.0,62.502
208.0,62.502
209.0,62.502
210.0,62.502
211.0,62.502
212.0,61.502
213.0,61.502
214.0,61.502
215.0,61.502
216.0,61.502
217.0,61.502
218.0,61.502
219.0,61.502
220.0,61.502
221.0,61.502
222.0,61.502
223.0,61.502
224.0,61.502
225.0,61.502
226.0,60.502
227.0,60.502
228.0,60.502
229.0,60.502
230.0,60.502
231.0,60.502
232.0,60.502
233.0,60.502
234.0,60.502
235.0,60.502
236.0,60.502
237.0,60.502
238.0,60.502
239.0,61.502
240.0,61.502
241.0,61.502
242.0,61.502
243.0,61.502
244.0,61.502
245.0,61.502
246.0,61.502
247.0,61.502
248.0,61.502
249.0,61.502
250.0,61.502
251.0,61.502
252.0,61.502
253.0,61.502
254.0,62.502
255.0,62.502
256.0,62.502
257.0,62.502
258.0,62.502
259.0,62.502
260.0,62.502
261.0,62.502
262.0,62.502
263.0,62.502
264.0,62.502
265.0,62.502
266.0,62.502
267.0,62.502
268.0,62.502
269.0,62.502
270.0,63.502
271.0,63.502
272.0,63.502
273.0,63.502
274.0,63.502
275.0,63.502
276.0,63.502
277.0,63.502
278.0,63.502
279.0,63.502
280.0,64.502
281.0,64.502
282.0,64.502
283.0,64.502
284.0,64.502
285.0,64.502
286.0,64.502
287.0,64.502
288.0,64.502
289.0,64.502
290.0,64.502
291.0,64.502
292.0,64.502
293.0,64.502
294.0,65.502
295.0,65.502
296.0,65.502
297.0,65.502
298.0,65.502
299.0,65.502
300.0,65.502
301.0,65.502
302.0,65.502
303.0,65.502
304.0,65.502
305.0,65.502
306.0,65.502
307.0,65.502
308.0,65.502
309.0,65.502
