y,x_sub
0.0,236.498
1.0,236.498
2.0,235.498
3.0,235.498
4.0,235.498
5.0,235.498
6.0,235.498
7.0,235.498
8.0,235.498
9.0,234.498
10.0,234.498
11.0,234.498
12.0,234.498
13.0,234.498
14.0,234.498
15.0,234.498
16.0,234.498
17.0,233.498
18.0,233.498
19.0,233.498
20.0,233.498
21.0,233.498
22.0,233.498
23.0,233.498
24.0,233.498
25.0,233.498
26.0,232.498
27.0,232.498
28.0,232.498
29.0,232.498
30.0,232.498
31.0,232.498
32.0,232.498
33.0,232.498
34.0,232.498
35.0,231.498
36.0,231.498
37.0,231.498
38.0,231.498
39.0,231.498
40.0,231.498
41.0,231.498
42.0,231.498
43.0,231.498
44.0,230.498
45.0,230.498
46.0,230.498
47.0,230.498
48.0,230.498
49.0,230.498
50.0,230.498
51.0,230.498
52.0,230.498
53.0,229.498
54.0,229.498
55.0,229.498
56.0,229.498
57.0,229.498
58.0,229.498
59.0,229.498
60.0,229.498
61.0,229.498
62.0,229.498
63.0,228.498
64.0,228.498
65.0,228.498
66.0,228.498
67.0,228.498
68.0,228.498
69.0,228.498
70.0,228.498
71.0,228.498
72.0,228.498
73.0,228.498
74.0,228.498
75.0,227.498
76.0,227.498
77.0,227.498
78.0,227.498
79.0,227.498
80.0,227.498
81.0,227.498
82.0,227.498
83.0,227.498
84.0,227.498
85.0,227.498
86.0,227.498
87.0,227.498
88.0,227.498
89.0,227.498
90.0,227.498
91.0,227.498
92.0,227.498
93.0,226.498
94.0,226.498
95.0,226.498
96.0,226.498
97.0,226.498
98.0,226.498
99.0,226.498
100.0,226.498
101.0,226.498
102.0,226.498
103.0,226.498
104.0,226.498
105.0,226.498
106.0,226.498
107.0,226.498
108.0,226.498
109.0,226.498
110.0,226.498
111.0,226.498
112.0,226.498
113.0,226.498
114.0,226.498
115.0,226.498
116.0,226.498
117.0,226.498
118.0,226.498
119.0,226.498
120.0,226.498
121.0,226.498
122.0,226.498
123.0,226.498
124.0,226.498
125.0,226.498
126.0,226.498
127.0,226.498
128.0,226.498
129.0,226.498
130.0,226.498
131.0,226.498
132.0,226.498
133.0,226.498
134.0,226.498
135.0,226.498
136.0,226.498
137.0,226.498
138.0,226.498
139.0,226.498
140.0,226.498
141.0,226.498
142.0,227.498
143.0,227.498
144.0,227.498
145.0,227.498
146.0,227.498
147.0,227.498
148.0,227.498
149.0,227.498
150.0,227.498
151.0,227.498
152.0,227.498
153.0,227.498
154.0,228.498
155.0,228.498
156.0,228.498
157.0,228.498
158.0,228.498
159.0,228.498
160.0,228.498
161.0,228.498
162.0,229.498
163.0,229.498
164.0,229.498
165.0,229.498
166.0,229.498
167.0,230.498
168.0,230.498
169.0,230.498
170.0,230.498
171.0,231.498
172.0,231.498
173.0,231.498
174.0,231.498
175.0,232.498
176.0,232.498
177.0,232.498
178.0,233.498
179.0,233.498
180.0,233.498
181.0,234.498
182.0,234.498
183.0,234.498
184.0,235.498
185.0,235.498
186.0,235.498
187.0,236.498
188.0,236.498
189.0,236.498
190.0,237.498
191.0,237.498
192.0,237.498
193.0,237.498
194.0,238.498
195.0,238.498
196.0,238.498
197.0,239.498
198.0,239.498
199.0,239.498
200.0,240.498
201.0,240.498
202.0,240.498
203.0,240.498
204.0,241.498
205.0,241.498
206.0,241.498
207.0,242.498
208.0,242.498
209.0,242.498
210.0,242.498
211.0,242.498
212.0,243.498
213.0,243.498
214.0,243.498
215.0,243.498
216.0,243.498
217.0,243.498
218.0,243.498
219.0,243.498
220.0,244.498
221.0,244.498
222.0,244.498
223.0,244.498
224.0,244.498
225.0,244.498
226.0,244.498
227.0,245.498
228.0,245.498
229.0,245.498
230.0,245.498
231.0,245.498
232.0,245.498
233.0,245.498
234.0,245.498
235.0,245.498
236.0,245.498
237.0,245.498
238.0,245.498
239.0,245.498
240.0,245.498
241.0,245.498
242.0,245.498
243.0,245.498
244.0,245.498
245.0,245.498
246.0,245.498
247.0,246.498
248.0,246.498
249.0,246.498
250.0,246.498
251.0,246.498
252.0,246.498
253.0,246.498
254.0,246.498
255.0,246.498
256.0,246.498
257.0,247.498
258.0,247.498
259.0,247.498
260.0,247.498
261.0,247.498
262.0,248.498
263.0,248.498
264.0,248.498
265.0,248.498
266.0,248.498
267.0,248.498
268.0,249.498
269.0,249.498
270.0,249.498
271.0,249.498
272.0,249.498
273.0,249.498
274.0,250.498
275.0,250.498
276.0,250.498
277.0,250.498
278.0,250.498
279.0,251.498
280.0,251.498
281.0,251.498
282.0,251.498
283.0,251.498
284.0,252.498
285.0,252.498
286.0,252.498
287.0,252.498
288.0,253.498
289.0,253.498
290.0,253.498
291.0,254.498
292.0,254.498
293.0,254.498
294.0,255.498
295.0,255.498
296.0,255.498
297.0,256.498
298.0,256.498
299.0,256.498
300.0,257.498
301.0,257.498
302.0,257.498
303.0,258.498
304.0,258.498
305.0,258.498
306.0,259.498
307.0,259.498
308.0,259.498
309.0,260.498
