y,x_sub
0,33.5020
1,33.5020
2,34.5020
3,34.5020
4,35.5020
5,36.5020
6,36.5020
7,37.5020
8,37.5020
9,38.5020
10,38.5020
11,39.5020
12,40.5020
13,40.5020
14,41.5020
15,41.5020
16,42.5020
17,42.5020
18,43.5020
19,44.5020
20,44.5020
21,45.5020
22,45.5020
23,46.5020
24,47.5020
25,47.5020
26,48.5020
27,48.5020
28,49.5020
29,49.5020
30,50.5020
31,50.5020
32,51.5020
33,51.5020
34,52.5020
35,52.5020
36,53.5020
37,53.5020
38,54.5020
39,54.5020
40,55.5020
41,55.5020
42,56.5020
43,56.5020
44,57.5020
45,57.5020
46,57.5020
47,58.5020
48,58.5020
49,59.5020
50,59.5020
51,59.5020
52,60.5020
53,60.5020
54,60.5020
55,61.5020
56,61.5020
57,61.5020
58,62.5020
59,62.5020
60,62.5020
61,63.5020
62,63.5020
63,64.5020
64,64.5020
65,64.5020
66,64.5020
67,65.5020
68,65.5020
69,65.5020
70,65.5020
71,66.5020
72,66.5020
73,66.5020
74,67.5020
75,67.5020
76,67.5020
77,67.5020
78,67.5020
79,68.5020
80,68.5020
81,68.5020
82,68.5020
83,68.5020
84,68.5020
85,68.5020
86,69.5020
87,69.5020
88,69.5020
89,69.5020
90,69.5020
91,69.5020
92,69.5020
93,69.5020
94,69.5020
95,69.5020
96,69.5020
97,69.5020
98,70.5020
99,70.5020
100,70.5020
101,70.5020
102,70.5020
103,70.5020
104,70.5020
105,70.5020
106,70.5020
107,70.5020
108,70.5020
109,70.5020
110,70.5020
111,70.5020
112,70.5020
113,70.5020
114,70.5020
115,70.5020
116,70.5020
117,70.5020
118,70.5020
119,70.5020
120,70.5020
121,70.5020
122,70.5020
123,70.5020
124,70.5020
125,71.5020
126,71.5020
127,71.5020
128,71.5020
129,71.5020
130,71.5020
131,71.5020
132,71.5020
133,71.5020
134,71.5020
135,71.5020
136,71.5020
137,72.5020
138,72.5020
139,72.5020
140,72.5020
141,72.5020
142,72.5020
143,72.5020
144,72.5020
145,72.5020
146,72.5020
147,72.5020
148,72.5020
149,72.5020
150,72.5020
151,73.5020
152,73.5020
153,73.5020
154,73.5020
155,73.5020
156,73.5020
157,73.5020
158,73.5020
159,73.5020
160,73.5020
161,73.5020
162,73.5020
163,74.5020
164,74.5020
165,74.5020
166,74.5020
167,74.5020
168,73.5020
169,73.5020
170,73.5020
171,73.5020
172,73.5020
173,73.5020
174,73.5020
175,73.5020
176,73.5020
177,73.5020
178,73.5020
179,73.5020
180,73.5020
181,73.5020
182,72.5020
183,72.5020
184,72.5020
185,71.5020
186,71.5020
187,71.5020
188,70.5020
189,70.5020
190,70.5020
191,69.5020
192,69.5020
193,69.5020
194,68.5020
195,68.5020
196,68.5020
197,67.5020
198,67.5020
199,67.5020
200,66.5020
201,66.5020
202,65.5020
203,65.5020
204,65.5020
205,64.5020
206,64.5020
207,63.5020
208,63.5020
209,63.5020
210,62.5020
211,62.5020
212,61.5020
213,61.5020
214,60.5020
215,60.5020
216,59.5020
217,59.5020
218,58.5020
219,58.5020
220,57.5020
221,57.5020
222,56.5020
223,56.5020
224,55.5020
225,55.5020
226,54.5020
227,54.5020
228,53.5020
229,53.5020
230,52.5020
231,52.5020
232,51.5020
233,51.5020
234,50.5020
235,50.5020
236,49.5020
237,49.5020
238,49.5020
239,48.5020
240,48.5020
241,47.5020
242,47.5020
243,46.5020
244,46.5020
245,45.5020
246,45.5020
247,45.5020
248,44.5020
249,44.5020
250,44.5020
251,43.5020
252,43.5020
253,43.5020
254,42.5020
255,42.5020
256,41.5020
257,41.5020
258,41.5020
259,41.5020
260,40.5020
261,40.5020
262,40.5020
263,39.5020
264,39.5020
265,39.5020
266,38.5020
267,38.5020
268,38.5020
269,37.5020
270,37.5020
271,37.5020
272,36.5020
273,36.5020
274,36.5020
275,35.5020
276,35.5020
277,35.5020
278,34.5020
279,34.5020
280,34.5020
281,34.5020
282,33.5020
283,33.5020
284,32.5020
285,32.5020
286,32.5020
287,31.5020
288,31.5020
289,30.5020
290,30.5020
291,30.5020
292,29.5020
293,29.5020
294,28.5020
295,28.5020
296,28.5020
297,27.5020
298,27.5020
299,26.5020
300,26.5020
301,26.5020
302,25.5020
303,25.5020
304,24.5020
305,24.5020
306,24.5020
307,23.5020
308,23.5020
309,23.5020
310,22.5020
311,22.5020
312,22.5020
313,21.5020
314,21.5020
315,20.5020
316,20.5020
317,20.5020
318,19.5020
319,19.5020
320,19.5020
321,18.5020
322,18.5020
323,17.5020
324,17.5020
325,17.5020
326,16.5020
